County,Municipality,Per Capita Taxable Property Value,Income Per Taxpayer
Essex,West Caldwell,"215,815","50,709.25"
Mercer,Princeton Twp,-,-
Essex,South Orange,"155,688","75,396.61"
Mercer,Pennington,"188,901","74,069.67"
Warren,Pohatcong,"114,531","30,102.06"
Warren,Washington,"73,728","26,707.03"
Warren,White,"117,456","31,693.29"
Morris,Chatham,"252,761","79,309.70"
Gloucester,Woodbury,"66,334","27,038.62"
Morris,Chatham Twp,"302,532","125,288.53"
Hudson,West New York,"44,304","24,260.50"
Morris,Chester Twp,"243,220","101,919.52"
Morris,Denville,"193,551","53,627.93"
Hunterdon,Milford,"97,892","32,837.17"
Morris,East Hanover,"301,750","50,817.41"
Ocean,Point Pleasant,"179,430","36,845.78"
Cumberland,Downe,"106,377","22,088.83"
Morris,Hanover,"275,890","50,443.73"
Ocean,Plumsted,"102,935","32,538.51"
Essex,Essex Fells,"341,691","145,663.79"
Morris,Harding,"611,172","184,627.95"
Gloucester,Elk,"87,454","29,570.74"
Ocean,Point Pleasant Beach,"472,181","42,590.25"
Gloucester,Pitman,"74,756","32,381.46"
Camden,Audubon Park,"21,904","21,471.38"
Camden,Lawnside,"81,194","23,754.98"
Cape May,Cape May,"783,909","40,278.73"
Hudson,Weehawken,"197,274","55,222.77"
Middlesex,Jamesburg,"76,586","29,178.08"
Hudson,Union City,"45,455","17,202.87"
Middlesex,Helmetta,"98,532","34,882.77"
Ocean,Lavallette,"1,155,896","47,608.47"
Hunterdon,Bloomsbury,"118,221","31,914.05"
Ocean,Little Egg Harbor,"125,209","26,821.85"
Middlesex,Milltown,"131,394","37,367.30"
Hunterdon,Alexandria,"161,495","52,903.93"
Ocean,Long Beach,"2,690,389","56,293"
Middlesex,Metuchen,"157,308","48,726.26"
Ocean,Manchester,"86,400","26,159.94"
Ocean,Mantoloking,"5,359,637","153,964.04"
Middlesex,Edison,"139,521","38,932.75"
Ocean,Ocean Twp,"159,073","30,775.82"
Ocean,Pine Beach,"132,298","34,899.26"
Middlesex,Sayreville,"107,420","31,397.37"
Hudson,East Newark,"54,850","16,963.47"
Gloucester,Woolwich,"98,824","43,167.13"
Hudson,Hoboken,"184,466","86,172.99"
Middlesex,North Brunswick,"105,831","34,602.70"
Hudson,Guttenberg,"79,388","31,660.19"
Middlesex,Monroe,"162,602","44,733.29"
Middlesex,Piscataway,"106,838","33,487.95"
Hudson,North Bergen,"76,361","23,652.90"
Middlesex,Perth Amboy,"63,014","15,191.02"
Hudson,Kearny,"77,457","24,149.20"
Morris,Mendham Twp,"331,511","165,300.38"
Morris,Morris Plains,"262,522","56,776.51"
Morris,Florham Park,"254,052","71,654.56"
Morris,Long Hill,"186,491","61,177.82"
Morris,Chester,"218,744","64,574.65"
Morris,Dover,"73,115","18,848.24"
Morris,Boonton,"130,143","37,716.41"
Morris,Butler,"129,890","35,313.58"
Morris,Mount Arlington,"143,997","40,304.99"
Morris,Mountain Lakes,"303,000","145,236.06"
Atlantic,Estell Manor,"101,764","28,608.83"
Atlantic,Galloway,"87,219","28,273.06"
Hunterdon,Flemington,"100,000","27,814.10"
Atlantic,Egg Harbor Twp,"96,939","26,915.84"
Hunterdon,Clinton Twp,"171,084","61,710.49"
Hunterdon,East Amwell,"190,586","52,962.77"
Hunterdon,Califon,"132,122","53,480.36"
Atlantic,Margate,"608,281","53,152.24"
Atlantic,Hammonton,"92,899","27,273.44"
Atlantic,Linwood,"149,394","58,169.99"
Union,Scotch Plains,"161,957","59,247.03"
Union,Summit,"314,139","131,114.48"
Warren,Belvidere,"75,392","29,358.21"
Union,Kenilworth,"192,746","30,700.67"
Warren,Franklin Twp,"128,240","44,317.60"
Morris,Roxbury,"139,728","40,403.17"
Union,New Providence,"202,617","65,038.82"
Union,Hillside,"79,456","26,764.39"
Union,Linden,"131,756","24,566.13"
Union,Roselle,"63,049","23,628.15"
Union,Mountainside,"247,423","67,347.97"
Union,Rahway,"102,298","28,141.78"
Union,Plainfield,"51,976","19,367.76"
Union,Springfield,"159,857","51,796.37"
Union,Roselle Park,"78,670","29,210.88"
Union,Westfield,"234,193","88,144.58"
Union,Union Twp,"111,689","31,910.59"
Warren,Hackettstown,"102,356","31,145.08"
Warren,Allamuchy,"130,537","46,233.70"
Atlantic,Weymouth,"59,056","25,403.12"
Bergen,Alpine,"1,179,232","349,325.97"
Bergen,Bergenfield,"98,535","32,179.65"
Bergen,Carlstadt,"314,548","36,351.12"
Atlantic,Mullica,"85,475","27,024.41"
Atlantic,Pleasantville,"50,810","13,461.05"
Atlantic,Port Republic,"121,291","33,885.52"
Atlantic,Ventnor,"235,861","28,914.74"
Morris,Pequannock,"158,795","45,730.24"
Bergen,Closter,"238,940","64,696.72"
Bergen,Cresskill,"239,834","81,297.94"
Warren,Mansfield,"96,400","30,426.13"
Warren,Oxford,"80,691","28,578.16"
Warren,Knowlton,"107,379","35,357.46"
Warren,Lopatcong,"110,668","35,629.63"
Atlantic,Buena,"64,568","21,419.01"
Atlantic,Buena Vista,"84,361","26,953.24"
Atlantic,Absecon,"101,335","28,738.26"
Atlantic,Atlantic City,"380,354","13,363.17"
Bergen,Dumont,"108,834","33,901.91"
Bergen,Englewood,"176,754","70,892.96"
Bergen,Englewood Cliffs,"604,802","106,404.80"
Bergen,East Rutherford,"218,959","31,694.69"
Bergen,Elmwood Park,"107,844","26,957.25"
Bergen,Garfield,"68,830","19,723.24"
Bergen,Hackensack,"127,795","29,938.75"
Monmouth,Roosevelt,"97,197","37,578.50"
Bergen,Fairview,"79,903","20,759.75"
Monmouth,Sea Bright,"527,578","67,786.66"
Bergen,Franklin Lakes,"405,595","152,369.07"
Monmouth,Ocean Twp,"167,801","43,998.62"
Monmouth,Red Bank,"165,207","37,910.31"
Bergen,Harrington Park,"197,529","60,706.53"
Monmouth,Monmouth Beach,"395,336","88,541.18"
Monmouth,Neptune City,"102,798","28,393.17"
Warren,Independence,"108,341","39,510.57"
Monmouth,Marlboro,"176,251","57,575.15"
Warren,Hope,"125,360","37,023.34"
Monmouth,Middletown,"156,999","50,329.45"
Monmouth,Long Branch,"148,237","30,272.07"
Monmouth,Manasquan,"344,243","44,388.81"
Atlantic,Hamilton,"91,317","26,355.13"
Atlantic,Longport,"2,224,556","69,237.12"
Atlantic,Somers Point,"119,919","25,753.75"
Monmouth,Sea Girt,"1,113,359","112,911.33"
Bergen,Allendale,"250,632","86,226.28"
Bergen,Bogota,"92,832","28,475.48"
Bergen,Cliffside Park,"124,304","38,291.64"
Bergen,Demarest,"276,553","95,583.90"
Bergen,Ho-Ho-Kus,"300,516","108,546.97"
Bergen,Haworth,"290,336","75,296.43"
Bergen,Leonia,"143,076","46,234.84"
Bergen,Lodi,"85,829","23,780.67"
Bergen,Lyndhurst,"132,259","31,521.13"
Bergen,Maywood,"133,523","36,175.28"
Bergen,Midland Park,"163,964","44,709.52"
Bergen,Moonachie,"253,327","26,980.33"
Bergen,New Milford,"109,865","35,641.43"
Bergen,Northvale,"190,001","35,198.25"
Monmouth,West Long Branch,"151,124","44,667.05"
Morris,Boonton Twp,"215,808","104,493.78"
Monmouth,Shrewsbury Twp,"54,116","24,017.27"
Atlantic,Corbin City,"110,228","26,470.78"
Monmouth,Spring Lake Heights,"229,069","41,354.02"
Monmouth,Union Beach,"93,078","27,298.44"
Atlantic,Folsom,"95,848","27,522.59"
Monmouth,Upper Freehold,"178,411","53,794.47"
Atlantic,Egg Harbor,"58,608","20,280.74"
Passaic,Pompton Lakes,"105,313","36,482.43"
Passaic,North Haledon,"157,554","47,011.55"
Passaic,Wayne,"174,200","50,628.55"
Passaic,Ringwood,"135,214","43,667.05"
Ocean,Surf City,"1,365,343","40,886.83"
Ocean,Seaside Heights,"248,728","19,152.56"
Passaic,Haledon,"68,118","21,235.82"
Passaic,Bloomingdale,"106,717","36,559.88"
Salem,Elmer,"72,206","26,804.71"
Salem,Mannington,"118,506","33,964.75"
Hunterdon,Lebanon Twp,"139,028","47,121.91"
Hunterdon,Raritan Twp,"182,454","57,799.79"
Hunterdon,Kingwood,"163,985","44,654.66"
Hunterdon,Lebanon,"205,788","41,297.01"
Hunterdon,West Amwell,"132,740","50,699.47"
Hunterdon,Readington,"201,087","60,221.57"
Hunterdon,Tewksbury,"282,037","119,703.51"
Hunterdon,Hampton Boro,"92,373","31,870.80"
Hunterdon,High Bridge,"101,968","38,101.43"
Hunterdon,Frenchtown,"117,956","33,788.01"
Camden,Tavistock,"3,308,241",-
Camden,Winslow,"67,861","27,929.74"
Camden,Pine Hill,"46,588","23,851.37"
Camden,Somerdale,"62,884","23,684.11"
Cape May,Stone Harbor,"4,912,901","53,372.99"
Cape May,Lower Township,"167,671","24,867.25"
Cape May,Ocean City,"1,009,518","41,385.93"
Cumberland,Hopewell,"71,743","27,695.22"
Cumberland,Commercial,"48,365","18,241.11"
Cape May,Wildwood Crest,"680,490","31,788.77"
Cape May,West Cape May,"444,624","31,714.42"
Burlington,Springfield,"120,725","38,471.65"
Burlington,Westampton,"133,246","35,798.47"
Burlington,Woodland,"81,111","32,380.43"
Camden,Berlin,"100,998","34,591.25"
Camden,Brooklawn,"68,901","22,597.59"
Camden,Chesilhurst,"54,460","21,035.09"
Camden,Gibbsboro,"100,102","34,825.75"
Camden,Gloucester Twp,"66,228","29,444.56"
Camden,Haddonfield,"190,176","73,912.68"
Camden,Oaklyn,"69,076","29,240.29"
Camden,Magnolia,"61,387","25,246.59"
Burlington,Riverton,"92,219","43,948.96"
Burlington,Pemberton,"81,223","29,825.19"
Burlington,Riverside,"57,465","21,735.98"
Burlington,North Hanover,"56,571","31,026.98"
Burlington,Palmyra,"71,708","29,328.53"
Burlington,Mount Laurel,"156,523","45,356.44"
Burlington,New Hanover,"9,170","28,301.96"
Burlington,Medford,"136,106","55,509.67"
Burlington,Mount Holly,"65,152","24,547.89"
Burlington,Southampton,"106,395","32,849.71"
Burlington,Shamong,"108,336","42,793.53"
Burlington,Medford Lakes,"111,357","41,938.56"
Hunterdon,Union Twp,"143,234","54,833.02"
Hunterdon,Stockton,"175,264","42,411.72"
Hunterdon,Lambertville,"192,407","54,024"
Mercer,Lawrence,"149,230","48,769.89"
Mercer,Trenton,"29,681","14,834.13"
Mercer,Ewing,"80,741","33,466.91"
Mercer,Hightstown,"81,110","31,768.82"
Middlesex,Highland Park,"95,117","40,267.63"
Middlesex,Middlesex Borough,"105,390","30,797.35"
Middlesex,Carteret,"84,590","22,776.02"
Middlesex,East Brunswick,"152,840","43,548.66"
Hudson,Bayonne,"80,842","26,851.32"
Gloucester,Woodbury Heights,"89,864","31,784.02"
Hudson,Jersey City,"69,587","32,857.86"
Hudson,Harrison,"75,841","24,041.05"
Hudson,Secaucus,"264,835","41,078.10"
Hunterdon,Bethlehem,"144,110","53,750.49"
Hunterdon,Clinton,"142,974","44,957.40"
Hunterdon,Delaware,"198,978","81,229.59"
Hunterdon,Franklin Twp,"177,831","55,931.98"
Hunterdon,Glen Gardner,"97,240","39,613.66"
Hunterdon,Holland,"133,696","41,725.05"
Gloucester,Paulsboro,"73,076","18,564.60"
Gloucester,Newfield,"81,549","26,143.56"
Gloucester,National Park,"58,095","23,954.84"
Gloucester,Monroe,"72,609","28,191.04"
Gloucester,Logan,"194,317","30,619.13"
Gloucester,West Deptford,"116,488","32,312.94"
Gloucester,Westville,"58,309","23,499.43"
Gloucester,Washington Twp,"94,245","36,009.09"
Gloucester,Wenonah,"108,236","55,079.70"
Gloucester,South Harrison,"114,662","41,560.95"
Gloucester,Swedesboro,"67,025","24,253.99"
Essex,Millburn,"424,512","199,533.27"
Essex,Irvington,"51,514","17,913.42"
Cumberland,Upper Deerfield,"79,557","27,651.90"
Cumberland,Millville,"62,115","22,730.65"
Essex,Cedar Grove,"177,456","51,899.39"
