County,Municipality,Registered Voters as  %  Population,% Democrats,% Republicans,Voter Turnout (%)
Ocean,Toms River,67.99,18.57,25.85,64.26
Ocean,Stafford,70.38,18.16,27.07,65.81
Morris,Kinnelon,71.73,14.73,45.61,71.74
Camden,Laurel Springs,74.84,35.46,21.85,67.65
Camden,Lindenwold,61.81,43.83,7.14,56.46
Camden,Merchantville,51.58,37.79,17.98,92.49
Camden,Mount Ephraim,71.03,43.63,12.55,64.19
Camden,Waterford,72.66,34.79,18.8,64.4
Camden,Voorhees,73.43,36.41,15.45,65.88
Morris,Netcong,57.22,20.86,35.99,63.37
Camden,Pine Valley,108.33,30.77,69.23,100
Camden,Pennsauken,67.98,42.86,9.57,64.66
Camden,Stratford,70.49,35.89,19.28,66.42
Camden,Runnemede,70.03,52.11,10.26,62.42
Morris,Madison,64.72,25.73,32.06,71.05
Morris,Lincoln Park,64,20.19,31.33,64.44
Morris,Mine Hill,63.47,22.76,31.88,70.09
Morris,Mendham,77.5,19.18,42.48,66.8
Morris,Morris Twp,73.11,26.62,33.78,72.68
Morris,Montville,69.11,18.01,37.92,71.66
Morris,Mount Olive,57.68,19.09,31.84,65.06
Morris,Morristown,55.13,39.79,17.3,65.87
Salem,Oldmans,71.86,26.67,29.02,71.29
Salem,Pennsville,70.17,27.07,20.01,64.61
Salem,Elsinboro,85.07,25.69,25.46,72.94
Salem,Lower Alloways Creek,74.99,38,25.51,87.81
Camden,Berlin Twp,67.99,42.59,11.02,63.78
Camden,Camden,61.65,38.87,2.08,48.78
Camden,Bellmawr,68.2,46.19,11.68,63.28
Camden,Gloucester City,62.74,46.85,10.13,56.54
Camden,Collingswood,76.32,42.37,13.33,66.19
Camden,Clementon,65.74,35.15,12.94,59.9
Camden,Cherry Hill,75.55,38.55,16.32,68.2
Camden,Hi-Nella,74.39,39.38,10.46,50.54
Camden,Haddon Twp,79.16,39.39,18.24,71.05
Camden,Haddon Heights,79.08,36.06,22.17,71.87
Somerset,Bernardsville,73.15,17.56,47.95,66.77
Somerset,Bernards Twp,72.88,18.63,36.77,68.44
Salem,Woodstown,71.06,26.79,23.83,69.2
Salem,Salem,64.32,49.07,6.56,60.87
Salem,Quinton,66.4,29.67,22.86,68.92
Salem,Pilesgrove,74.32,23.31,29.43,76.19
Passaic,Hawthorne,67.13,24.92,31.67,66.88
Passaic,Little Falls,63,24.12,20.49,66.75
Passaic,Passaic,39.07,38.41,7.96,57.43
Somerset,Bedminster,79.4,19.65,34.92,67.64
Somerset,South Bound Brook,52.58,27.46,18.29,65.74
Warren,Washington Twp,71.05,16.45,38.04,69.33
Sussex,Stillwater,75.82,15.33,45.34,67.33
Burlington,Washington Twp,77.7,14.43,49.8,69.98
Burlington,Tabernacle,74.55,18.85,37.32,73.97
Burlington,Wrightstown,42.07,24.01,27.96,66.77
Burlington,Willingboro,69.18,58.24,5.74,77.62
Camden,Barrington,74.76,36.67,17.7,65.92
Camden,Audubon,75.34,37.08,17.37,68.4
Passaic,Woodland Park,68.31,29.59,18.49,67.31
Passaic,West Milford,70.23,18.78,29.42,66.09
Salem,Carneys Point,67.19,30.16,17.19,63.54
Passaic,Prospect Park,57.78,53.62,10.38,62.61
Passaic,Paterson,53.85,43.85,4.08,57.61
Passaic,Wanaque,67.03,22.27,30.38,68.68
Passaic,Totowa,66.46,18.5,37.94,68.88
