County,Municipality,President DEM,President REP,US Senate DEM,US Senate REP,Congress DEM,Congress REP
Sussex,Sparta,"3,747","6,370","3,608","6,027","2,748","6,814"
Burlington,Moorestown,"5,789","5,656","5,528","5,473","4,666","6,367"
Sussex,Wantage,"1,800","3,269","1,756","3,092","1,394","3,461"
Burlington,Pemberton Twp,"6,304","3,157","6,020","2,936","5,083","3,763"
Bergen,Teterboro,14,9,10,7,9,5
Sussex,Hopatcong,"2,560","3,285","2,499","2,991","1,854","3,573"
Burlington,Chesterfield,"1,195","1,189","1,129","1,144",956,"1,295"
Sussex,Newton,"1,395","1,546","1,337","1,443","1,036","1,725"
Warren,Phillipsburg,"2,487","1,751","2,410","1,524","1,931","1,915"
Warren,Hardwick,267,446,261,418,206,458
Ocean,Lakehurst,438,418,392,376,268,511
Warren,Harmony,442,702,424,635,286,759
Ocean,Lacey,"4,998","7,438","4,550","7,074","4,037","7,429"
Warren,Frelinghuysen,368,756,333,727,267,779
Union,Clark,"3,041","4,538","2,877","3,991","2,267","4,295"
Ocean,Jackson,"10,728","13,752","9,873","13,034","7,860","14,775"
Warren,Greenwich,"1,002","1,415",941,"1,331",755,"1,442"
Union,Fanwood,"2,164","1,710","2,046","1,577","1,982","1,563"
Ocean,Island Heights,454,508,406,473,400,479
Warren,Alpha,497,436,468,376,321,484
Warren,Blairstown,910,"1,654",895,"1,553",754,"1,660"
Ocean,Bay Head,188,374,162,376,126,394
Gloucester,Harrison Twp,"2,612","3,561","2,591","3,270","2,044","3,780"
Mercer,Hopewell Twp,"5,223","4,171","4,995","3,970","5,780","3,338"
Gloucester,Greenwich,"1,435","1,206","1,572",962,"1,591",922
Ocean,Beach Haven,206,339,197,325,141,345
Mercer,Hopewell,815,313,773,285,860,236
Mercer,Hamilton,"23,434","17,114","22,111","15,382","14,430","23,810"
Gloucester,Franklin Twp,"3,782","3,553","3,719","3,221","2,843","4,126"
Mercer,East Windsor,"7,156","3,548","6,799","3,276","6,862","3,072"
Gloucester,East Greenwich,"2,346","2,752","2,384","2,460","3,405","3,262"
Ocean,Eagleswood,274,455,245,429,185,470
Ocean,Harvey Cedars,105,152,97,152,84,154
Ocean,Beachwood,"2,048","2,264","1,873","2,209","1,686","2,343"
Ocean,Brick,"14,184","18,484","13,218","17,241","12,046","17,226"
Gloucester,Mantua,"3,855","3,692","3,883","3,288","3,193","3,929"
Essex,Orange,"9,828",291,"8,635",246,"8,317",216
Middlesex,Dunellen,"1,387","1,047","1,325",928,"1,181",912
Middlesex,Cranbury,"1,076",971,"1,002",948,"1,148",807
Mercer,West Windsor,"7,769","4,401","7,369","4,189","8,152","3,592"
Gloucester,Deptford,"8,427","4,938","8,401","4,202","8,561","3,975"
Essex,West Orange,"15,214","5,950","13,538","4,653","17,612","16,790"
Mercer,Robbinsville,"3,332","3,297","3,106","3,066","2,298","3,941"
Essex,West Caldwell,"2,524","3,109","2,355","2,738","2,008","3,049"
Essex,South Orange,"6,566","1,270","6,051","1,136","5,857","1,082"
Mercer,Pennington,985,488,929,484,"1,077",367
Warren,Pohatcong,634,802,645,691,481,829
Warren,Washington,"1,158","1,160","1,068","1,100",884,"1,219"
Warren,White,722,"1,540",752,"1,391",553,"1,554"
Morris,Chatham,"2,045","2,501","1,862","2,432","1,484","2,745"
Gloucester,Woodbury,"2,972","1,356","2,879","1,258","2,882","1,194"
Morris,Chatham Twp,"2,064","3,393","1,922","3,215","1,525","3,545"
Hudson,West New York,"9,682","2,725","9,166","2,139","8,925","1,953"
Morris,Chester Twp,"1,235","2,579","1,151","2,459","1,000","2,463"
Morris,Denville,"3,805","4,898","3,559","4,568","2,704","5,338"
Hunterdon,Milford,297,314,270,287,208,325
Morris,East Hanover,"1,888","4,150","1,859","3,536","1,337","3,872"
Ocean,Point Pleasant,"3,843","5,141","3,585","4,827","8,331","7,273"
Cumberland,Downe,276,415,274,334,145,497
Morris,Hanover,"2,740","4,384","2,546","3,970","1,865","4,573"
Ocean,Plumsted,"1,428","2,179","1,293","2,018",808,"2,546"
Essex,Essex Fells,347,829,322,747,262,793
Morris,Harding,654,"1,607",610,"1,543",427,"1,719"
Gloucester,Elk,"1,116","1,039","1,135",926,877,"1,171"
Ocean,Point Pleasant Beach,891,"1,373",817,"1,267",568,"1,459"
Gloucester,Pitman,"2,340","2,036","2,337","1,858","1,758","2,431"
Camden,Audubon Park,368,164,350,133,378,115
Camden,Lawnside,"1,671",34,"1,592",26,"1,580",31
Cape May,Cape May,669,745,598,637,419,848
Hudson,Weehawken,"3,692","1,169","3,429",915,"3,225",893
Middlesex,Jamesburg,"1,103",757,991,721,"1,051",639
Hudson,Union City,"14,569","3,050","14,094","2,169","12,967","2,135"
Middlesex,Helmetta,463,442,418,426,457,352
Ocean,Lavallette,324,646,307,595,210,516
Hunterdon,Bloomsbury,172,223,153,201,115,234
Ocean,Little Egg Harbor,"3,777","5,129","3,566","4,829","3,086","5,066"
Middlesex,Milltown,"1,784","1,828","1,739","1,687","1,994","1,408"
Hunterdon,Alexandria,899,"1,695",808,"1,603",628,"1,729"
Ocean,Long Beach,632,"1,166",592,"1,136",459,"1,102"
Middlesex,Metuchen,"4,286","2,618","4,056","2,496","4,091","2,389"
Ocean,Manchester,"10,041","12,970","9,475","12,122","7,347","13,945"
Ocean,Mantoloking,39,180,39,173,25,151
Middlesex,Edison,"22,104","12,769","20,987","11,357","20,962","10,873"
Ocean,Ocean Twp,"1,693","2,881","1,599","2,754","1,454","2,855"
Ocean,Pine Beach,554,648,504,640,468,667
Middlesex,Sayreville,"9,362","6,394","8,891","5,781","8,988","5,428"
Hudson,East Newark,400,80,356,59,300,55
Gloucester,Woolwich,"2,289","2,536","2,284","2,321","1,877","2,682"
Hudson,Hoboken,"14,443","7,078","12,819","5,695","11,347","5,597"
Middlesex,North Brunswick,"10,367","4,605","9,707","4,274","9,741","3,849"
Hudson,Guttenberg,"2,507",692,"2,366",500,"2,162",526
Middlesex,Monroe,"12,113","10,361","11,528","9,583","12,092","8,651"
Middlesex,Piscataway,"15,659","5,125","14,508","4,766","14,127","4,614"
Hudson,North Bergen,"15,600","4,209","15,187","3,196","14,310","3,034"
Middlesex,Perth Amboy,"11,774","1,667","10,529","1,210","8,724","1,185"
Hudson,Kearny,"7,579","3,293","6,706","2,559","14,180","13,462"
Morris,Mendham Twp,"1,130","2,108","1,032","2,035",778,"2,253"
Morris,Morris Plains,"1,429","1,659","1,286","1,580",936,"1,919"
Morris,Florham Park,"2,165","3,273","2,045","3,002","1,610","3,359"
Morris,Long Hill,"1,690","2,605","1,572","2,424","1,336","2,492"
Morris,Chester,273,506,242,482,206,485
Morris,Dover,"3,223","1,195","3,000",985,"2,407","1,031"
Morris,Boonton,"1,882","1,720","1,675","1,625","1,378","1,895"
Morris,Butler,"1,430","1,811","1,341","1,586","1,025","1,801"
Morris,Mount Arlington,"1,036","1,457",985,"1,325",791,"1,338"
Morris,Mountain Lakes,893,"1,262",872,"1,161",674,"1,343"
Atlantic,Estell Manor,368,525,363,457,221,634
Atlantic,Galloway,"8,707","6,935","8,299","6,381","6,318","8,363"
Hunterdon,Flemington,732,689,683,650,586,738
Atlantic,Egg Harbor Twp,"9,854","7,989","9,225","7,407","6,811","9,623"
Hunterdon,Clinton Twp,"2,628","4,265","2,375","4,064","1,914","4,371"
Hunterdon,East Amwell,961,"1,346",885,"1,243",788,"1,319"
Hunterdon,Califon,290,269,243,250,208,295
Atlantic,Margate,"1,534","1,882","1,490","1,700","1,013","2,216"
Atlantic,Hammonton,"2,777","3,420","2,726","2,858","1,649","4,008"
Atlantic,Linwood,"1,592","2,190","1,568","1,986","1,022","2,536"
Union,Scotch Plains,"6,801","5,394","6,331","4,850","8,896","8,595"
Union,Summit,"4,895","4,859","4,469","4,568","3,985","4,723"
Warren,Belvidere,521,656,512,598,381,717
Union,Kenilworth,"1,535","1,775","1,407","1,441","1,138","1,544"
Warren,Franklin Twp,493,921,458,887,352,973
Morris,Roxbury,"4,282","6,536","3,941","5,836","3,187","5,914"
Union,New Providence,"2,726","3,267","2,467","2,990","2,046","3,193"
Union,Hillside,"8,059","1,186","7,101",879,"6,680",841
Union,Linden,"11,213","3,814","9,989","2,966","9,110","2,729"
Union,Roselle,"8,034",875,"6,905",697,"6,524",628
Union,Mountainside,"1,401","2,100","1,345","1,904","1,060","2,071"
Union,Rahway,"8,413","2,648","7,351","2,347","6,952","2,211"
Union,Plainfield,"14,640",909,"12,824",832,"11,877",821
Union,Springfield,"4,083","3,179","3,902","2,667","3,192","3,067"
