County,Municipality,President DEM,President REP,US Senate DEM,US Senate REP,Congress DEM,Congress REP
Bergen,Ridgefield,"2,320","1,570","2,218","1,342","2,147","1,210"
Bergen,Rochelle Park,"1,289","1,238","1,207","1,021",945,"1,123"
Somerset,Franklin Twp,"19,611","7,640","18,525","7,252","18,647","6,697"
Bergen,River Vale,"2,303","2,962","2,158","2,641","1,777","2,847"
Somerset,Bridgewater,"9,561","10,664","8,885","10,172","7,917","10,522"
Somerset,Millstone,118,119,109,115,109,108
Bergen,Rutherford,"4,771","3,313","4,505","2,984","4,858","2,477"
Somerset,Hillsborough,"9,071","8,842","8,355","8,599","7,380","9,136"
Somerset,Montgomery,"5,549","4,904","5,217","4,786","4,781","4,936"
Somerset,Peapack Gladstone,464,796,413,774,339,800
Somerset,Rocky Hill,252,137,242,137,217,141
Somerset,Somerville,"2,779","1,631","2,593","1,612","2,366","1,691"
Somerset,Warren,"2,636","4,605","2,584","4,186","2,159","4,361"
Bergen,Oakland,"2,845","3,631","2,704","3,192","2,203","3,525"
Bergen,Old Tappan,"1,072","1,792","1,014","1,594",824,"1,671"
Bergen,Palisades Park,"2,487","1,147","2,343",983,"2,367",847
Monmouth,Wall,"4,954","8,855","4,553","8,417","3,339","9,540"
Monmouth,Tinton Falls,"4,788","4,329","4,329","4,295","3,730","4,528"
Monmouth,Spring Lake,514,"1,258",498,"1,196",414,"1,231"
Monmouth,Rumson,"1,111","2,446",938,"2,528",869,"2,424"
Monmouth,Oceanport,"1,200","1,836","1,064","1,789","1,286","1,569"
Monmouth,Neptune Twp,"9,350","3,552","8,507","3,556","7,615","3,987"
Monmouth,Millstone Twp,"1,698","3,340","1,539","3,179","1,195","3,455"
Monmouth,Howell,"9,762","12,529","8,871","11,891","6,575","13,875"
Monmouth,Matawan,"1,937","1,732","1,724","1,783","1,815","1,603"
Monmouth,Loch Arbour,51,68,43,72,57,61
Monmouth,Keyport,"1,664","1,234","1,438","1,335","1,597","1,120"
Monmouth,Hazlet,"4,365","4,844","3,769","4,958","4,467","4,146"
Monmouth,Freehold,"2,182","1,326","1,987","1,291","1,679","1,543"
Monmouth,Fair Haven,"1,411","1,679","1,221","1,751","1,129","1,726"
Cumberland,Bridgeton,"4,125",891,"3,682",739,"3,017","1,306"
Cape May,Woodbine,641,245,467,197,282,355
Monmouth,Bradley Beach,"1,026",783,898,754,786,809
Cumberland,Fairfield,"1,830",534,"1,645",448,"1,253",759
Monmouth,Avon By The Sea,373,662,351,633,277,671
Cumberland,Deerfield,698,597,668,487,449,764
Monmouth,Allentown,540,403,486,393,390,510
Monmouth,Aberdeen,"4,109","3,054","3,708","3,010","3,802","2,745"
Cumberland,Lawrence,539,618,516,520,351,720
Middlesex,South River,"3,033","2,101","2,804","1,989","2,933","1,726"
Cumberland,Greenwich,229,203,225,178,152,271
Sussex,Vernon,"4,322","6,111","4,204","5,689","3,239","6,558"
Middlesex,South Brunswick,"11,583","6,233","10,795","5,906","11,381","5,316"
Sussex,Sussex,270,391,250,371,184,430
Burlington,Maple Shade,"5,003","2,546","4,788","2,263","4,923","2,085"
Union,Berkeley Heights,"2,799","3,897","2,634","3,463","2,178","3,676"
Sussex,Walpack,2,10,3,9,1,10
Burlington,Fieldsboro,175,79,167,71,140,97
Sussex,Ogdensburg,463,636,442,605,343,697
Burlington,Edgewater Park,"2,596","1,083","2,472","1,035","2,112","1,358"
Sussex,Stanhope,738,843,696,791,488,983
Burlington,Lumberton,"3,508","2,504","3,356","2,391","2,759","2,976"
Sussex,Sandyston,327,661,311,610,232,703
Burlington,Florence,"3,354","2,539","3,164","2,423","2,597","2,969"
Burlington,Burlington Twp,"7,345","3,229","7,073","3,038","6,081","3,917"
Burlington,Cinnaminson,"4,391","4,283","4,293","3,996","3,297","5,026"
Burlington,Delanco,"1,406",933,"1,344",881,"1,099","1,113"
Burlington,Eastampton,"1,651","1,069","1,637",973,"1,318","1,290"
Union,Cranford,"6,236","5,772","5,702","5,197","4,728","5,946"
Union,Elizabeth,"24,751","5,213","21,934","3,549","17,845","3,278"
Union,Garwood,968,957,880,851,762,933
Burlington,Bordentown Twp,"2,949","2,034","2,821","1,972","2,267","2,443"
Cumberland,Maurice River,627,810,632,677,394,960
Cumberland,Shiloh,88,159,80,138,39,185
Cumberland,Stow Creek,238,447,226,401,134,514
Cumberland,Vineland,"15,299","8,074","13,809","6,304","9,720","10,290"
Middlesex,New Brunswick,"9,176","1,576","8,456","1,363","8,157","1,356"
Middlesex,Plainsboro,"5,416","2,286","5,106","2,142","5,511","1,801"
Morris,Parsippany-Troy Hills,"11,324","9,948","10,465","8,892","8,340","10,547"
Morris,Randolph,"5,662","6,636","5,348","6,095","4,043","7,241"
Cape May,Dennis,"1,406","1,809","1,367","1,544",878,"2,125"
Cape May,Middle Township,"4,299","4,328","4,046","3,705","2,760","5,119"
Cape May,Avalon,308,622,290,592,211,676
Cape May,Cape May Point,91,83,88,82,73,97
Camden,Woodlynne,826,120,783,105,759,111
Cape May,Wildwood,991,617,882,494,635,756
Cape May,West Wildwood,165,154,148,138,104,170
Cape May,Upper Township,"2,807","4,027","2,528","3,518","1,606","4,576"
Cape May,Sea Isle City,587,916,494,842,327,"1,068"
Cape May,North Wildwood,889,"1,209",785,"1,095",517,"1,397"
Ocean,South Toms River,802,411,743,407,672,449
Ocean,Seaside Park,247,484,226,462,209,421
Morris,Rockaway Twp,"5,562","6,410","5,213","5,725","3,804","6,918"
Morris,Rockaway,"1,362","1,464","1,246","1,320",925,"1,616"
Passaic,Clifton,"18,761","10,885","17,379","8,666","18,985","7,141"
Ocean,Tuckerton,604,745,566,689,472,752
Ocean,Toms River,"16,776","22,773","15,600","21,326","14,365","21,553"
Ocean,Stafford,"5,075","7,159","4,741","6,578","13,604","10,096"
Morris,Kinnelon,"1,772","3,497","1,606","3,211","1,271","3,477"
Camden,Laurel Springs,558,374,528,363,581,326
Camden,Lindenwold,"4,936","1,152","4,729","1,054","4,811",933
Camden,Merchantville,"1,190",592,"1,158",561,"1,162",526
Camden,Mount Ephraim,"1,278",793,"1,228",711,"1,304",655
Camden,Waterford,"2,501","2,406","2,477","2,142","2,066","2,479"
Camden,Voorhees,"8,479","5,450","8,421","4,921","8,703","4,503"
Morris,Netcong,514,649,446,556,338,549
Camden,Pine Valley,2,11,1,11,5,7
Camden,Pennsauken,"12,200","3,233","11,745","2,936","11,595","2,773"
Camden,Stratford,"1,911","1,282","1,855","1,171","1,959","1,072"
Camden,Runnemede,"2,348","1,275","2,298","1,084","2,422",974
Morris,Madison,"3,589","3,715","3,377","3,466","2,702","4,089"
Morris,Lincoln Park,"1,967","2,301","1,826","2,003","1,362","2,331"
Morris,Mine Hill,799,802,743,740,616,750
Morris,Mendham,906,"1,666",850,"1,573",686,"1,725"
Morris,Morris Twp,"5,679","6,133","5,374","5,805","4,181","6,893"
Morris,Montville,"4,101","6,460","3,874","5,741","3,024","6,449"
Morris,Mount Olive,"4,855","5,664","4,507","5,152","3,777","5,356"
Morris,Morristown,"4,485","2,117","4,080","1,930","3,380","2,520"
Salem,Oldmans,448,477,452,415,285,596
Salem,Pennsville,"2,651","3,175","2,929","2,656","1,613","4,043"
Salem,Elsinboro,242,374,263,330,127,481
Salem,Lower Alloways Creek,313,620,393,492,185,711
Camden,Berlin Twp,"1,502",814,"1,448",696,"1,490",628
Camden,Camden,"22,254",683,"20,786",578,"20,228",640
Camden,Bellmawr,"3,064","1,788","3,006","1,607","3,242","1,398"
Camden,Gloucester City,"2,624","1,303","2,635","1,100","2,776",968
Camden,Collingswood,"4,927","1,892","4,748","1,758","4,732","1,691"
Camden,Clementon,"1,316",607,"1,271",544,"1,329",491
Camden,Cherry Hill,"22,128","13,872","21,955","12,383","21,802","11,875"
Camden,Hi-Nella,213,98,192,98,205,83
Camden,Haddon Twp,"4,975","3,104","3,708","2,906","4,898","2,723"
Camden,Haddon Heights,"2,352","1,891","4,820","2,871","2,441","1,667"
Somerset,Bernardsville,"1,408","2,318","1,301","2,251","1,090","2,327"
Somerset,Bernards Twp,"5,338","7,879","5,102","7,460","4,357","7,746"
Salem,Woodstown,886,792,866,750,593,"1,026"
Salem,Salem,"1,674",309,"1,563",258,"1,280",566
Salem,Quinton,522,673,558,569,350,797
Salem,Pilesgrove,950,"1,273",974,"1,172",608,"1,553"
Passaic,Hawthorne,"4,195","4,114","3,980","3,530","4,608","2,873"
Passaic,Little Falls,"3,190","2,780","2,797","2,381","2,409","2,507"
Passaic,Passaic,"12,011","3,447","10,920","2,400","10,843","2,226"
Somerset,Bedminster,"1,895","2,424","1,813","2,333","1,552","2,472"
Somerset,South Bound Brook,"1,001",627,946,590,913,570
Warren,Washington Twp,"1,118","2,001","1,047","1,931",878,"2,020"
Sussex,Stillwater,735,"1,283",721,"1,205",562,"1,351"
Burlington,Washington Twp,142,221,136,195,91,240
Burlington,Tabernacle,"1,525","2,247","1,465","2,165","1,095","2,555"
Burlington,Wrightstown,143,76,124,68,112,84
Burlington,Willingboro,"15,635","1,300","15,006","1,223","14,004","1,944"
Camden,Barrington,"2,015","1,310","1,972","1,228","2,000","1,183"
Camden,Audubon,"2,718","1,704","2,603","1,578","2,705","1,481"
Passaic,Woodland Park,"3,119","2,471","2,907","2,076","2,582","2,142"
Passaic,West Milford,"4,832","7,003","4,483","6,105","3,713","6,744"
Salem,Carneys Point,"1,974","1,379","1,964","1,217","1,374","1,830"
Passaic,Prospect Park,"1,744",348,"1,602",300,"1,657",246
Passaic,Paterson,"41,662","2,696","37,065","1,852","37,634","1,526"
Passaic,Wanaque,"2,400","2,633","2,185","2,288","1,838","2,383"
Passaic,Totowa,"2,083","2,834","1,793","2,545","1,508","2,617"
