County,Municipality,Area,Density
Hunterdon,Flemington,1,4292
Atlantic,Egg Harbor Twp,67,655
Hunterdon,Clinton Twp,30,439
Hunterdon,East Amwell,28,139
Hunterdon,Califon,1,1109
Atlantic,Margate,1,4456
Atlantic,Hammonton,41,361
Atlantic,Linwood,4,1832
Union,Scotch Plains,9,2638
Union,Summit,6,3638
Warren,Belvidere,1,1817
Union,Kenilworth,2,3715
Warren,Franklin Twp,24,130
Morris,Roxbury,21,1130
Union,New Providence,4,3402
Union,Hillside,3,7856
Union,Linden,11,3828
Union,Roselle,3,8037
Union,Mountainside,4,1691
Union,Rahway,4,7124
Union,Plainfield,6,8346
Union,Springfield,5,3262
Union,Roselle Park,1,10985
Union,Westfield,7,4559
Union,Union Twp,9,6298
Warren,Hackettstown,4,2706
Warren,Allamuchy,20,218
Atlantic,Weymouth,12,225
Bergen,Alpine,6,302
Bergen,Bergenfield,3,9381
Bergen,Carlstadt,4,1580
Atlantic,Mullica,56,110
Atlantic,Pleasantville,6,3647
Atlantic,Port Republic,7,149
Atlantic,Ventnor,2,5444
Morris,Pequannock,7,2306
Bergen,Closter,3,2689
Bergen,Cresskill,2,4199
Warren,Mansfield,30,255
Warren,Oxford,6,427
Warren,Knowlton,25,122
Warren,Lopatcong,7,1136
Atlantic,Buena,8,602
Atlantic,Buena Vista,41,185
Atlantic,Absecon,5,1553
Atlantic,Atlantic City,11,3675
Bergen,Dumont,2,8912
Bergen,Englewood,5,5622
Bergen,Englewood Cliffs,2,2554
Bergen,East Rutherford,4,2420
Bergen,Elmwood Park,3,7506
Bergen,Garfield,2,14701
Bergen,Hackensack,4,10489
Monmouth,Roosevelt,2,458
Bergen,Fairview,1,16925
Monmouth,Sea Bright,1,1901
Bergen,Franklin Lakes,9,1140
Monmouth,Ocean Twp,11,2501
Monmouth,Red Bank,2,7004
Bergen,Harrington Park,2,2627
Monmouth,Monmouth Beach,1,3036
Monmouth,Neptune City,1,5095
Warren,Independence,20,285
Monmouth,Marlboro,30,1324
Warren,Hope,19,103
Monmouth,Middletown,41,1618
Monmouth,Long Branch,5,5815
Monmouth,Manasquan,1,4254
Atlantic,Hamilton,111,241
Atlantic,Longport,0,2274
Atlantic,Somers Point,4,2681
Monmouth,Sea Girt,1,1703
Bergen,Allendale,3,2147
Bergen,Bogota,1,10870
Bergen,Cliffside Park,1,24867
Bergen,Demarest,2,2400
Bergen,Ho-Ho-Kus,2,2379
Bergen,Haworth,2,1754
Bergen,Leonia,2,5856
Bergen,Lodi,2,10779
Bergen,Lyndhurst,5,4654
Bergen,Maywood,1,7433
Bergen,Midland Park,2,4633
Bergen,Moonachie,2,1647
Bergen,New Milford,2,7270
Bergen,Northvale,1,3729
Monmouth,West Long Branch,3,2978
Morris,Boonton Twp,8,534
Monmouth,Shrewsbury Twp,0,11250
Atlantic,Corbin City,8,65
Monmouth,Spring Lake Heights,1,3663
Monmouth,Union Beach,2,3451
Atlantic,Folsom,8,228
Monmouth,Upper Freehold,46,149
Atlantic,Egg Harbor,11,393
Passaic,Pompton Lakes,3,3827
Passaic,North Haledon,3,2447
Passaic,Wayne,24,2310
Passaic,Ringwood,25,489
Ocean,Surf City,1,1609
Ocean,Seaside Heights,1,4665
Passaic,Haledon,1,7431
Passaic,Bloomingdale,9,883
Salem,Elmer,1,1590
Salem,Mannington,34,54
Hunterdon,Lebanon Twp,31,206
Hunterdon,Raritan Twp,38,584
Hunterdon,Kingwood,35,109
Hunterdon,Lebanon,1,1506
Hunterdon,West Amwell,22,175
Hunterdon,Readington,48,334
Hunterdon,Tewksbury,32,187
Hunterdon,Hampton Boro,2,897
Hunterdon,High Bridge,2,1498
Hunterdon,Frenchtown,1,1075
Camden,Tavistock,0,20
Camden,Winslow,57,684
Camden,Pine Hill,4,2732
Camden,Somerdale,1,3768
Cape May,Stone Harbor,1,610
Cape May,Lower Township,28,814
Cape May,Ocean City,6,1821
Cumberland,Hopewell,30,152
Cumberland,Commercial,32,162
Cape May,Wildwood Crest,1,2862
Cape May,West Cape May,1,874
Burlington,Springfield,30,114
Burlington,Westampton,11,798
Burlington,Woodland,95,19
Camden,Berlin,4,2119
Camden,Brooklawn,0,3973
Camden,Chesilhurst,2,955
Camden,Gibbsboro,2,1037
Camden,Gloucester Twp,23,2803
Camden,Haddonfield,3,4105
Camden,Oaklyn,1,6384
Camden,Magnolia,1,4487
Burlington,Riverton,1,4233
Burlington,Pemberton,1,2407
Burlington,Riverside,1,5415
Burlington,North Hanover,17,447
Burlington,Palmyra,2,3984
Burlington,Mount Laurel,22,1930
Burlington,New Hanover,22,354
Burlington,Medford,39,597
Burlington,Mount Holly,3,3335
Burlington,Southampton,44,239
Burlington,Shamong,44,146
Burlington,Medford Lakes,1,3608
Hunterdon,Union Twp,19,306
Hunterdon,Stockton,1,993
Hunterdon,Lambertville,1,3337
Mercer,Lawrence,22,1523
Mercer,Trenton,8,11043
Mercer,Ewing,15,2377
Mercer,Hightstown,1,4586
Middlesex,Highland Park,2,7900
Middlesex,Middlesex Borough,4,3903
Middlesex,Carteret,4,5444
Middlesex,East Brunswick,22,2207
Hudson,Bayonne,6,11106
Gloucester,Woodbury Heights,1,2483
Hudson,Jersey City,15,17204
Hudson,Harrison,1,11562
Hudson,Secaucus,6,3153
Hunterdon,Bethlehem,21,188
Hunterdon,Clinton,1,1992
Hunterdon,Delaware,37,123
Hunterdon,Franklin Twp,23,137
Hunterdon,Glen Gardner,2,1102
Hunterdon,Holland,24,221
Gloucester,Paulsboro,2,3179
Gloucester,Newfield,2,906
Gloucester,National Park,1,3013
Gloucester,Monroe,46,789
Gloucester,Logan,22,274
Gloucester,West Deptford,15,1396
Gloucester,Westville,1,4169
Gloucester,Washington Twp,21,2252
Gloucester,Wenonah,1,2334
Gloucester,South Harrison,16,203
Gloucester,Swedesboro,1,3935
Essex,Millburn,9,2161
Essex,Irvington,3,18467
Cumberland,Upper Deerfield,31,249
Cumberland,Millville,42,681
Essex,Cedar Grove,4,2959
Essex,Belleville,3,10812
Essex,Roseland,4,1662
Essex,Verona,3,4852
Gloucester,Clayton,7,1145
Gloucester,Glassboro,9,2058
Essex,North Caldwell,3,2106
Bergen,Woodcliff Lake,3,1709
Sussex,Andover Twp,20,315
Bergen,Wood-Ridge,1,7598
Somerset,Watchung,6,968
