County,Municipality,Municipal Budget per Capita ($)
Bergen,Bergenfield,1267
Bergen,Carlstadt,3182
Atlantic,Mullica,869
Atlantic,Pleasantville,1398
Atlantic,Port Republic,882
Atlantic,Ventnor,2394
Morris,Pequannock,1344
Bergen,Closter,1709
Bergen,Cresskill,1962
Warren,Mansfield,773
Warren,Oxford,911
Warren,Knowlton,965
Warren,Lopatcong,902
Atlantic,Buena,860
Atlantic,Buena Vista,598
Atlantic,Absecon,1187
Atlantic,Atlantic City,5942
Bergen,Dumont,1174
Bergen,Englewood,2166
Bergen,Englewood Cliffs,2526
Bergen,East Rutherford,2659
Bergen,Elmwood Park,1336
Bergen,Garfield,1044
Bergen,Hackensack,2039
Monmouth,Roosevelt,1099
Bergen,Fairview,1178
Monmouth,Sea Bright,3833
Bergen,Franklin Lakes,1539
Monmouth,Ocean Twp,1188
Monmouth,Red Bank,1692
Bergen,Harrington Park,1247
Monmouth,Monmouth Beach,2097
Monmouth,Neptune City,1333
Warren,Independence,739
Monmouth,Marlboro,828
Warren,Hope,666
Monmouth,Middletown,989
Monmouth,Long Branch,1645
Monmouth,Manasquan,1501
Atlantic,Hamilton,948
Atlantic,Longport,8238
Atlantic,Somers Point,1247
Monmouth,Sea Girt,3458
Bergen,Allendale,1901
Bergen,Bogota,988
Bergen,Cliffside Park,1373
Bergen,Demarest,1616
Bergen,Ho-Ho-Kus,1911
Bergen,Haworth,2242
Bergen,Leonia,1475
Bergen,Lodi,1009
Bergen,Lyndhurst,1682
Bergen,Maywood,1681
Bergen,Midland Park,1405
Bergen,Moonachie,3152
Bergen,New Milford,1124
Bergen,Northvale,1590
Monmouth,West Long Branch,1196
Morris,Boonton Twp,1439
Monmouth,Shrewsbury Twp,815
Atlantic,Corbin City,865
Monmouth,Spring Lake Heights,1224
Monmouth,Union Beach,1399
Atlantic,Folsom,628
Monmouth,Upper Freehold,834
Atlantic,Egg Harbor,1373
Passaic,Pompton Lakes,1135
Passaic,North Haledon,1367
Passaic,Wayne,1162
Passaic,Ringwood,1202
Ocean,Surf City,4903
Ocean,Seaside Heights,4127
Passaic,Haledon,1061
Passaic,Bloomingdale,1257
Salem,Elmer,739
Salem,Mannington,729
Hunterdon,Lebanon Twp,784
Hunterdon,Raritan Twp,799
Hunterdon,Kingwood,795
Hunterdon,Lebanon,1355
Hunterdon,West Amwell,934
Hunterdon,Readington,1143
Hunterdon,Tewksbury,1694
Hunterdon,Hampton Boro,780
Hunterdon,High Bridge,1718
Hunterdon,Frenchtown,1236
Camden,Tavistock,26323
Camden,Winslow,741
Camden,Pine Hill,761
Camden,Somerdale,1079
Cape May,Stone Harbor,15666
Cape May,Lower Township,1087
Cape May,Ocean City,5901
Cumberland,Hopewell,484
Cumberland,Commercial,760
Cape May,Wildwood Crest,6450
Cape May,West Cape May,2138
Burlington,Springfield,999
Burlington,Westampton,1145
Burlington,Woodland,907
Camden,Berlin,913
Camden,Brooklawn,1506
Camden,Chesilhurst,1534
Camden,Gibbsboro,1345
Camden,Gloucester Twp,815
Camden,Haddonfield,1330
Camden,Oaklyn,1149
Camden,Magnolia,1005
Burlington,Riverton,1161
Burlington,Pemberton,895
Burlington,Riverside,801
Burlington,North Hanover,433
Burlington,Palmyra,1038
Burlington,Mount Laurel,913
Burlington,New Hanover,236
Burlington,Medford,983
Burlington,Mount Holly,866
Burlington,Southampton,562
Burlington,Shamong,442
Burlington,Medford Lakes,1005
Hunterdon,Union Twp,626
Hunterdon,Stockton,1125
Hunterdon,Lambertville,1276
Mercer,Lawrence,1348
Mercer,Trenton,2176
Mercer,Ewing,1163
Mercer,Hightstown,1208
Middlesex,Highland Park,923
Middlesex,Middlesex Borough,1194
Middlesex,Carteret,1616
Middlesex,East Brunswick,1175
Hudson,Bayonne,1810
Gloucester,Woodbury Heights,1228
Hudson,Jersey City,1881
Hudson,Harrison,2773
Hudson,Secaucus,2547
Hunterdon,Bethlehem,725
Hunterdon,Clinton,1355
Hunterdon,Delaware,948
Hunterdon,Franklin Twp,1075
Hunterdon,Glen Gardner,749
Hunterdon,Holland,1022
Gloucester,Paulsboro,1262
Gloucester,Newfield,880
Gloucester,National Park,798
Gloucester,Monroe,916
Gloucester,Logan,1593
Gloucester,West Deptford,1539
Gloucester,Westville,1368
Gloucester,Washington Twp,738
Gloucester,Wenonah,1110
Gloucester,South Harrison,610
Gloucester,Swedesboro,860
Essex,Millburn,2499
Essex,Irvington,1814
Cumberland,Upper Deerfield,695
Cumberland,Millville,1101
Essex,Cedar Grove,999
Essex,Belleville,1550
Essex,Roseland,2259
Essex,Verona,1668
Gloucester,Clayton,880
Gloucester,Glassboro,1234
Essex,North Caldwell,1351
Bergen,Woodcliff Lake,2008
Sussex,Andover Twp,1209
Bergen,Wood-Ridge,1570
Somerset,Watchung,2244
Bergen,Washington Twp,1337
Bergen,Waldwick,1391
Sussex,Green,994
Sussex,Fredon,755
Sussex,Frankford,657
Burlington,Bordentown,1329
Burlington,Bass River,862
Sussex,Branchville,1652
Sussex,Lafayette,839
Sussex,Montague,530
Sussex,Hamburg,868
Sussex,Hardyston,1248
Bergen,Tenafly,1827
Bergen,Upper Saddle River,1272
Bergen,Saddle Brook,1390
Bergen,South Hackensack,3246
Bergen,Ramsey,1610
Bergen,Paramus,2139
Bergen,Ridgewood,1808
Somerset,Branchburg,1233
Bergen,Ridgefield,1791
Bergen,Rochelle Park,2072
Somerset,Franklin Twp,940
Bergen,River Vale,1318
Somerset,Bridgewater,855
Somerset,Millstone,1280
Bergen,Rutherford,1541
Somerset,Hillsborough,722
Somerset,Montgomery,1572
Somerset,Peapack Gladstone,2502
Somerset,Rocky Hill,1741
Somerset,Somerville,1378
Somerset,Warren,1104
Bergen,Oakland,1442
Bergen,Old Tappan,1477
Bergen,Palisades Park,1009
Monmouth,Wall,1335
Monmouth,Tinton Falls,1315
Monmouth,Spring Lake,3361
Monmouth,Rumson,2120
Monmouth,Oceanport,1232
Monmouth,Neptune Twp,1383
Monmouth,Millstone Twp,654
Monmouth,Howell,888
Monmouth,Matawan,1214
Monmouth,Loch Arbour,5966
Monmouth,Keyport,1194
Monmouth,Hazlet,1002
Monmouth,Freehold,1206
Monmouth,Fair Haven,1341
Cumberland,Bridgeton,880
Cape May,Woodbine,903
Monmouth,Bradley Beach,1927
Cumberland,Fairfield,429
Monmouth,Avon By The Sea,2730
Cumberland,Deerfield,602
Monmouth,Allentown,1256
Monmouth,Aberdeen,856
Cumberland,Lawrence,563
Middlesex,South River,1006
Cumberland,Greenwich,943
Sussex,Vernon,978
Middlesex,South Brunswick,1117
Sussex,Sussex,605
Burlington,Maple Shade,783
Union,Berkeley Heights,1266
Sussex,Walpack,7506
Burlington,Fieldsboro,1394
Sussex,Ogdensburg,1160
Burlington,Edgewater Park,639
Sussex,Stanhope,1267
Burlington,Lumberton,688
Sussex,Sandyston,620
Burlington,Florence,881
Burlington,Burlington Twp,1038
Burlington,Cinnaminson,806
Burlington,Delanco,1171
Burlington,Eastampton,835
Union,Cranford,1476
Union,Elizabeth,1683
Union,Garwood,1584
Burlington,Bordentown Twp,946
Cumberland,Maurice River,551
Cumberland,Shiloh,606
Cumberland,Stow Creek,426
Cumberland,Vineland,949
Middlesex,New Brunswick,1328
Middlesex,Plainsboro,1106
Morris,Parsippany-Troy Hills,1721
Morris,Randolph,1883
Cape May,Dennis,726
Cape May,Middle Township,1062
Cape May,Avalon,17888
Cape May,Cape May Point,5876
Camden,Woodlynne,972
Cape May,Wildwood,5195
Cape May,West Wildwood,3477
Cape May,Upper Township,936
Cape May,Sea Isle City,9112
Cape May,North Wildwood,6296
Ocean,South Toms River,1058
Ocean,Seaside Park,6002
Morris,Rockaway Twp,1703
Morris,Rockaway,1374
Passaic,Clifton,1249
Ocean,Tuckerton,1166
Ocean,Toms River,1120
Ocean,Stafford,1489
Morris,Kinnelon,1360
Camden,Laurel Springs,1404
Camden,Lindenwold,724
Camden,Merchantville,1160
Camden,Mount Ephraim,1026
Camden,Waterford,910
Camden,Voorhees,893
Morris,Netcong,1294
Camden,Pine Valley,38709
Camden,Pennsauken,1025
Camden,Stratford,850
Camden,Runnemede,881
Morris,Madison,2138
Morris,Lincoln Park,2098
Morris,Mine Hill,1458
Morris,Mendham,1726
Morris,Morris Twp,1807
Morris,Montville,1794
