Index,start_lat,start_lon,end_lat,end_lon
1,40.183077,-74.700908,40.137504,-74.587685
2,40.137504,-74.587685,39.770239,-74.389082
3,39.770239,-74.389082,39.596265,-74.390156
4,39.596265,-74.390156,39.544484,-74.436619
5,39.544484,-74.436619,39.9947,-75.048262
6,39.9947,-75.048262,40.183077,-74.700908
7,39.729351,-74.735856,39.607871,-74.877336
8,39.607871,-74.877336,39.779383,-75.086227
9,39.779383,-75.086227,39.877995,-75.130567
10,39.877995,-75.130567,39.956341,-75.128556
11,39.956341,-75.128556,39.9947,-75.048262
12,39.729351,-74.735856,39.514657,-74.985185
13,39.514657,-74.985185,39.666316,-75.198725
14,39.666316,-75.198725,39.689936,-75.325369
15,39.689936,-75.325369,39.784632,-75.425922
