County,Municipality,Violent Crimes,Non-Violent Crimes
Atlantic,Hammonton,15,186
Atlantic,Linwood,5,92
Union,Scotch Plains,12,271
Union,Summit,12,193
Warren,Belvidere,1,35
Union,Kenilworth,9,172
Warren,Franklin Twp,-,-
Morris,Roxbury,10,334
Union,New Providence,2,85
Union,Hillside,78,608
Union,Linden,131,971
Union,Roselle,72,414
Union,Mountainside,1,65
Union,Rahway,77,470
Union,Plainfield,358,1445
Union,Springfield,4,201
Union,Roselle Park,8,127
Union,Westfield,6,298
Union,Union Twp,79,1067
Warren,Hackettstown,-,-
Warren,Allamuchy,-,-
Atlantic,Weymouth,-,-
Bergen,Alpine,0,16
Bergen,Bergenfield,19,148
Bergen,Carlstadt,6,172
Atlantic,Mullica,5,129
Atlantic,Pleasantville,145,582
Atlantic,Port Republic,-,-
Atlantic,Ventnor,12,347
Morris,Pequannock,6,132
Bergen,Closter,1,46
Bergen,Cresskill,1,27
Warren,Mansfield,6,242
Warren,Oxford,0,9
Warren,Knowlton,-,-
Warren,Lopatcong,2,80
Atlantic,Buena,14,122
Atlantic,Buena Vista,-,-
Atlantic,Absecon,22,224
Atlantic,Atlantic City,699,2453
Bergen,Dumont,17,133
Bergen,Englewood,81,439
Bergen,Englewood Cliffs,0,73
Bergen,East Rutherford,8,169
Bergen,Elmwood Park,22,352
Bergen,Garfield,65,641
Bergen,Hackensack,-,879
Monmouth,Roosevelt,-,-
Bergen,Fairview,24,195
Monmouth,Sea Bright,5,61
Bergen,Franklin Lakes,4,90
Monmouth,Ocean Twp,39,547
Monmouth,Red Bank,36,237
Bergen,Harrington Park,0,9
Monmouth,Monmouth Beach,1,42
Monmouth,Neptune City,8,157
Warren,Independence,5,54
Monmouth,Marlboro,17,321
Warren,Hope,-,-
Monmouth,Middletown,45,731
Monmouth,Long Branch,124,803
Monmouth,Manasquan,13,190
Atlantic,Hamilton,61,925
Atlantic,Longport,1,4
Atlantic,Somers Point,28,351
Monmouth,Sea Girt,3,36
Bergen,Allendale,2,59
Bergen,Bogota,3,59
Bergen,Cliffside Park,29,171
Bergen,Demarest,0,19
Bergen,Ho-Ho-Kus,1,18
Bergen,Haworth,1,10
Bergen,Leonia,5,83
Bergen,Lodi,43,420
Bergen,Lyndhurst,13,281
Bergen,Maywood,5,114
Bergen,Midland Park,4,56
Bergen,Moonachie,2,70
Bergen,New Milford,3,98
Bergen,Northvale,3,24
Monmouth,West Long Branch,8,176
Morris,Boonton Twp,4,37
Monmouth,Shrewsbury Twp,-,-
Atlantic,Corbin City,-,-
Monmouth,Spring Lake Heights,2,15
Monmouth,Union Beach,12,100
Atlantic,Folsom,-,-
Monmouth,Upper Freehold,-,-
Atlantic,Egg Harbor,20,141
Passaic,Pompton Lakes,13,88
Passaic,North Haledon,2,74
Passaic,Wayne,40,1227
Passaic,Ringwood,4,93
Ocean,Surf City,2,36
Ocean,Seaside Heights,30,260
Passaic,Haledon,15,202
Passaic,Bloomingdale,3,62
Salem,Elmer,0,14
Salem,Mannington,-,-
Hunterdon,Lebanon Twp,2,38
Hunterdon,Raritan Twp,3,199
Hunterdon,Kingwood,-,-
Hunterdon,Lebanon,-,-
Hunterdon,West Amwell,2,25
Hunterdon,Readington,6,157
Hunterdon,Tewksbury,0,26
Hunterdon,Hampton Boro,-,-
Hunterdon,High Bridge,2,33
Hunterdon,Frenchtown,0,22
Camden,Tavistock,0,1
Camden,Winslow,122,704
Camden,Pine Hill,42,266
Camden,Somerdale,17,330
Cape May,Stone Harbor,1,111
Cape May,Lower Township,28,615
Cape May,Ocean City,15,478
Cumberland,Hopewell,-,-
Cumberland,Commercial,-,-
Cape May,Wildwood Crest,15,148
Cape May,West Cape May,0,32
Burlington,Springfield,4,47
Burlington,Westampton,14,184
Burlington,Woodland,-,-
Camden,Berlin,7,202
Camden,Brooklawn,15,184
Camden,Chesilhurst,5,48
Camden,Gibbsboro,4,66
Camden,Gloucester Twp,208,1540
Camden,Haddonfield,6,236
Camden,Oaklyn,4,128
Camden,Magnolia,15,120
Burlington,Riverton,2,55
Burlington,Pemberton,5,38
Burlington,Riverside,21,108
Burlington,North Hanover,1,55
Burlington,Palmyra,16,191
Burlington,Mount Laurel,33,711
Burlington,New Hanover,0,9
Burlington,Medford,17,267
Burlington,Mount Holly,34,300
Burlington,Southampton,-,-
Burlington,Shamong,-,-
Burlington,Medford Lakes,0,30
Hunterdon,Union Twp,-,-
Hunterdon,Stockton,-,-
Hunterdon,Lambertville,1,78
Mercer,Lawrence,37,786
Mercer,Trenton,1251,2746
Mercer,Ewing,76,680
Mercer,Hightstown,-,-
Middlesex,Highland Park,7,247
Middlesex,Middlesex Borough,4,131
Middlesex,Carteret,49,375
Middlesex,East Brunswick,25,859
Hudson,Bayonne,132,817
Gloucester,Woodbury Heights,3,110
Hudson,Jersey City,1847,5479
Hudson,Harrison,61,412
Hudson,Secaucus,16,462
Hunterdon,Bethlehem,-,-
Hunterdon,Clinton,3,28
Hunterdon,Delaware,0,23
Hunterdon,Franklin Twp,0,40
Hunterdon,Glen Gardner,-,-
Hunterdon,Holland,1,28
Gloucester,Paulsboro,15,242
Gloucester,Newfield,1,22
Gloucester,National Park,13,84
Gloucester,Monroe,34,881
Gloucester,Logan,7,115
Gloucester,West Deptford,15,441
Gloucester,Westville,23,149
Gloucester,Washington Twp,67,1139
Gloucester,Wenonah,0,37
Gloucester,South Harrison,1,36
Gloucester,Swedesboro,3,27
Essex,Millburn,8,566
Essex,Irvington,708,1967
Cumberland,Upper Deerfield,-,-
Cumberland,Millville,248,2083
Essex,Cedar Grove,2,95
Essex,Belleville,71,860
Essex,Roseland,5,46
Essex,Verona,5,154
Gloucester,Clayton,11,145
Gloucester,Glassboro,39,483
Essex,North Caldwell,1,17
Bergen,Woodcliff Lake,0,33
Sussex,Andover Twp,2,31
Bergen,Wood-Ridge,5,47
Somerset,Watchung,2,337
Bergen,Washington Twp,4,29
Bergen,Waldwick,4,59
Sussex,Green,-,-
Sussex,Fredon,-,-
Sussex,Frankford,-,-
Burlington,Bordentown,2,42
Burlington,Bass River,-,-
Sussex,Branchville,-,-
Sussex,Lafayette,-,-
Sussex,Montague,-,-
Sussex,Hamburg,1,36
Sussex,Hardyston,4,169
Bergen,Tenafly,3,109
Bergen,Upper Saddle River,5,42
Bergen,Saddle Brook,1,315
Bergen,South Hackensack,6,58
Bergen,Ramsey,14,144
Bergen,Paramus,29,1373
Bergen,Ridgewood,11,258
Somerset,Branchburg,7,128
Bergen,Ridgefield,7,67
Bergen,Rochelle Park,6,69
Somerset,Franklin Twp,72,1150
Bergen,River Vale,0,27
Somerset,Bridgewater,13,655
Somerset,Millstone,-,-
Bergen,Rutherford,8,304
Somerset,Hillsborough,7,282
Somerset,Montgomery,3,132
