,,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%)
County  ,School District Name  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  
Burlington,Pemberton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Shamong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Southampton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Riverside,-,128,124,125,113,-,109,100,110,97,-,85.16,80.65,88,85.84
Essex,South Orange-Maplewood,-,510,484,448,519,-,463,430,405,488,-,90.78,88.84,90.4,94.03
Burlington,Riverton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Essex,Verona,-,163,153,156,161,-,163,149,151,156,-,100,97.39,96.79,96.89
Essex,Orange,-,316,279,295,300,-,263,253,269,268,-,83.23,90.68,91.19,89.33
Essex,Roseland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Springfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Essex,North Caldwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Essex,Nutley,-,303,313,331,321,-,289,296,316,303,-,95.38,94.57,95.47,94.39
Morris,Chathams,-,296,290,329,301,-,289,285,326,297,-,97.64,98.28,99.09,98.67
Essex,Montclair,-,478,507,520,502,-,437,467,486,470,-,91.42,92.11,93.46,93.63
Morris,Butler,-,115,115,153,132,-,104,104,144,119,-,90.43,90.43,94.12,90.15
Essex,Newark,-,"2,795","2,484","2,393","2,645",-,"1,945","1,825","1,878","2,002",-,69.59,73.47,78.48,75.69
Essex,Livingston,-,469,474,461,500,-,455,453,442,487,-,97.01,95.57,95.88,97.4
Essex,Millburn,-,357,393,363,373,-,351,382,356,368,-,98.32,97.2,98.07,98.66
Morris,Long Hill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Madison,-,205,222,203,209,-,200,215,197,203,-,97.56,96.85,97.04,97.13
Morris,Mendham,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Essex,West Essex Regional,-,258,272,309,262,-,254,266,298,253,-,98.45,97.79,96.44,96.56
Morris,Mendham Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Mine Hill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Montville,-,334,321,302,313,-,317,313,299,302,-,94.91,97.51,99.01,96.49
Morris,Morris,-,394,438,196,224,-,366,379,194,222,-,92.89,86.53,98.98,99.11
Burlington,Washington Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Tabernacle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Westampton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Willingboro,-,243,218,264,216,-,189,172,235,193,-,77.78,78.9,89.02,89.35
Burlington,Woodland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Audubon,-,192,186,180,161,-,176,174,168,152,-,91.67,93.55,93.33,94.41
Camden,Audubon Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Gateway Regional,-,176,202,176,164,-,146,187,166,152,-,82.95,92.57,94.32,92.68
Camden,Barrington,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Bellmawr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Berlin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Deptford,-,268,249,302,284,-,238,210,278,245,-,88.81,84.34,92.05,86.27
Gloucester,East Greenwich,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Elk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Franklin Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Jefferson,-,242,253,270,250,-,221,238,252,238,-,91.32,94.07,93.33,95.2
Essex,West Orange,-,505,562,525,533,-,434,477,455,486,-,85.94,84.88,86.67,91.18
Gloucester,Clayton,-,88,105,90,118,-,78,97,81,103,-,88.64,92.38,90,87.29
Morris,Lincoln Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Clearview Regional,-,441,467,470,446,-,419,450,438,423,-,95.01,96.36,93.19,94.84
Morris,Kinnelon,-,181,167,168,175,-,179,163,164,168,-,98.9,97.6,97.62,96
Gloucester,Delsea Regional,-,314,301,314,348,-,290,280,298,324,-,92.36,93.02,94.9,93.1
Ocean,Stafford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Southern Regional,-,533,502,532,495,-,499,470,498,461,-,93.62,93.63,93.61,93.13
Ocean,Tuckerton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Toms River Regional,-,"1,417","1,308","1,296","1,269",-,"1,310","1,208","1,188","1,165",-,92.45,92.35,91.67,91.8
Ocean,Point Pleasant Beach,-,86,85,206,133,-,83,80,189,124,-,96.51,94.12,91.75,93.23
Ocean,Point Pleasant,-,223,265,81,241,-,203,246,77,229,-,91.03,92.83,95.06,95.02
Ocean,Seaside Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Seaside Heights,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Bloomingdale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Clifton,-,854,802,801,822,-,717,672,698,705,-,83.96,83.79,87.14,85.77
Camden,Woodlynne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Avalon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Waterford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Winslow,-,359,359,374,368,-,284,283,287,294,-,79.11,78.83,76.74,79.89
Cape May,Cape May Point,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Cape May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Cape May County Vocational,-,159,139,146,137,-,149,135,143,133,-,93.71,97.12,97.95,97.08
Camden,Tavistock,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Voorhees,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Stratford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,South Hunterdon Regional,-,71,79,80,73,-,71,78,80,67,-,100,98.73,100,91.78
Hunterdon,Tewksbury,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,North Hunterdon-Voorhees Regional,-,732,704,675,703,-,710,682,656,683,-,96.99,96.88,97.19,97.16
Hunterdon,Readington,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mercer,Ewing,-,328,278,318,286,-,294,247,291,258,-,89.63,88.85,91.51,90.21
Hunterdon,Union Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mercer,East Windsor Regional,-,362,407,417,386,-,337,374,392,366,-,93.09,91.89,94,94.82
Mercer,Mercer County Vocational,-,43,40,74,59,-,32,24,48,34,-,74.42,60,64.86,57.63
Mercer,Lawrence,-,309,287,285,317,-,294,273,269,304,-,95.15,95.12,94.39,95.9
Mercer,Hopewell Valley Regional,-,321,322,328,301,-,311,313,320,294,-,96.88,97.2,97.56,97.67
Mercer,Hamilton,-,"1,051","1,012","1,048","1,013",-,958,935,958,923,-,91.15,92.39,91.41,91.12
Hunterdon,Frenchtown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Glen Gardner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Hampton Boro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,High Bridge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Holland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Hunterdon Central Regional,-,793,724,776,777,-,751,698,746,730,-,94.7,96.41,96.13,93.95
Hunterdon,Hunterdon County Vocational,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Kingwood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Lebanon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Milford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Lebanon Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,East Amwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Delaware,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Delaware Valley Regional,-,201,232,260,199,-,191,226,245,190,-,95.02,97.41,94.23,95.48
Hunterdon,Clinton Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Clinton-Glen Gardner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Bloomsbury,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Califon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Alexandria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Bethlehem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Franklin Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunterdon,Flemington-Raritan Regional,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hudson,West New York,-,438,463,537,498,-,371,383,425,399,-,84.7,82.72,79.14,80.12
Monmouth,Brielle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Bradley Beach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Belmar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Eatontown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Fair Haven,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Colts Neck,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Deal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Freehold Regional,-,"2,844","2,884","2,794","2,869",-,"2,710","2,762","2,676","2,767",-,95.29,95.77,95.78,96.44
Monmouth,Freehold Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Farmingdale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Freehold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Middlesex,South Amboy,-,81,71,75,80,-,69,61,66,77,-,85.19,85.92,88,96.25
Middlesex,Sayreville,-,474,443,428,416,-,426,402,385,383,-,89.87,90.74,89.95,92.07
Middlesex,South Plainfield,-,288,269,270,282,-,275,257,249,263,-,95.49,95.54,92.22,93.26
Middlesex,South Brunswick,-,719,738,734,787,-,689,713,703,758,-,95.83,96.61,95.78,96.32
Middlesex,South River,-,176,155,155,163,-,162,137,134,140,-,92.05,88.39,86.45,85.89
Middlesex,Spotswood,-,161,207,203,177,-,153,198,192,165,-,95.03,95.65,94.58,93.22
Middlesex,Woodbridge,-,"1,113","1,114","1,088","1,091",-,"1,022","1,027","1,004","1,020",-,91.82,92.19,92.28,93.49
Monmouth,Allenhurst,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Asbury Park,-,106,93,114,94,-,70,68,81,78,-,66.04,73.12,71.05,82.98
Monmouth,Atlantic Highlands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Avon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Middlesex,Milltown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Middlesex,Middlesex County Vocational,-,420,464,448,464,-,391,437,436,446,-,93.1,94.18,97.32,96.12
Middlesex,Middlesex Boro,-,179,162,150,167,-,162,143,145,160,-,90.5,88.27,96.67,95.81
Middlesex,Metuchen,-,158,184,159,173,-,152,176,154,165,-,96.2,95.65,96.86,95.38
Middlesex,Jamesburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Middlesex,Perth Amboy,-,586,552,613,607,-,430,396,465,486,-,73.38,71.74,75.86,80.07
Middlesex,Piscataway,-,558,569,584,558,-,513,514,538,516,-,91.94,90.33,92.12,92.47
Middlesex,North Brunswick,-,492,462,492,454,-,415,403,398,407,-,84.35,87.23,80.89,89.65
Middlesex,Old Bridge,-,764,774,725,782,-,711,738,683,746,-,93.06,95.35,94.21,95.4
Middlesex,Monroe,-,499,525,518,583,-,466,498,497,557,-,93.39,94.86,95.95,95.54
Middlesex,New Brunswick,-,492,505,515,561,-,337,351,354,412,-,68.5,69.5,68.74,73.44
Middlesex,Cranbury,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Middlesex,Carteret,-,256,274,295,270,-,214,242,243,223,-,83.59,88.32,82.37,82.59
Mercer,Robbinsville,-,231,228,227,246,-,226,224,221,240,-,97.84,98.25,97.36,97.56
Mercer,Princeton,-,361,388,392,420,-,357,368,382,405,-,98.89,94.85,97.45,96.43
Mercer,West Windsor-Plainsboro Regional,-,853,745,775,761,-,841,728,740,744,-,98.59,97.72,95.48,97.77
Mercer,Trenton,-,813,834,807,798,-,558,555,566,541,-,68.63,66.55,70.14,67.79
Middlesex,East Brunswick,-,748,778,701,661,-,720,756,679,652,-,96.26,97.17,96.86,98.64
Middlesex,Edison,-,"1,016","1,031","1,093","1,123",-,954,967,"1,032","1,066",-,93.9,93.79,94.42,94.92
Middlesex,Helmetta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Middlesex,Highland Park,-,102,127,138,134,-,94,119,129,125,-,92.16,93.7,93.48,93.28
Middlesex,Dunellen,-,97,79,86,96,-,88,66,78,85,-,90.72,83.54,90.7,88.54
Union,Elizabeth,-,"1,414","1,546","1,610","1,671",-,"1,105","1,256","1,280","1,373",-,78.15,81.24,79.5,82.17
Camden,Laurel Springs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Union,Cranford,-,308,285,312,270,-,296,267,297,266,-,96.1,93.68,95.19,98.52
Camden,Hi Nella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Haddonfield,-,192,196,206,197,-,190,190,202,195,-,98.96,96.94,98.06,98.98
Camden,Haddon Twp,-,187,163,164,143,-,174,154,158,139,-,93.05,94.48,96.34,97.2
Union,Linden,-,477,431,485,435,-,422,382,415,391,-,88.47,88.63,85.57,89.89
Union,Kenilworth,-,128,123,142,120,-,120,118,133,104,-,93.75,95.93,93.66,86.67
Union,Hillside,-,185,223,236,236,-,162,192,207,205,-,87.57,86.1,87.71,86.86
Camden,Lindenwold,-,140,158,153,155,-,107,122,115,119,-,76.43,77.22,75.16,76.77
Union,Garwood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Lawnside,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Union,Plainfield,-,492,548,561,583,-,396,429,408,444,-,80.49,78.28,72.73,76.16
Union,Rahway,-,292,271,291,310,-,260,230,247,269,-,89.04,84.87,84.88,86.77
Union,Mountainside,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Union,New Providence,-,154,177,178,160,-,149,165,173,159,-,96.75,93.22,97.19,99.38
Camden,Gloucester Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Haddon Heights,-,189,167,157,161,-,170,156,140,148,-,89.95,93.41,89.17,91.93
Camden,Gibbsboro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Gloucester City,-,154,151,148,130,-,127,142,133,118,-,82.47,94.04,89.86,90.77
Camden,Camden County Vocational,-,368,352,470,476,-,349,336,452,466,-,94.84,95.45,96.17,97.9
Camden,Camden,-,678,644,709,685,-,431,448,468,469,-,63.57,69.57,66.01,68.47
Sussex,Sandyston-Walpack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Chesilhurst,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Cherry Hill,-,889,950,970,897,-,838,893,904,858,-,94.26,94,93.2,95.65
Sussex,Stanhope,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Collingswood,-,181,189,201,207,-,149,168,182,171,-,82.32,88.89,90.55,82.61
Sussex,Sparta,-,281,337,279,282,-,270,327,275,275,-,96.09,97.03,98.57,97.52
Camden,Clementon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Sussex County Vocational,-,189,191,171,162,-,185,189,170,160,-,97.88,98.95,99.42,98.77
Sussex,Stillwater,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Eastern Camden County Regional,-,503,516,535,480,-,473,487,508,449,-,94.04,94.38,94.95,93.54
Sussex,Sussex-Wantage Regional,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Vernon,-,300,279,283,247,-,272,257,273,231,-,90.67,92.11,96.47,93.52
Sussex,Wallkill Valley Regional,-,154,175,178,175,-,142,160,167,160,-,92.21,91.43,93.82,91.43
Union,Berkeley Heights,-,252,232,284,274,-,246,228,275,269,-,97.62,98.28,96.83,98.18
Union,Clark,-,211,218,186,199,-,205,210,180,189,-,97.16,96.33,96.77,94.97
Camden,Berlin Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Black Horse Pike Regional,-,"1,070","1,065","1,016",879,-,946,950,922,780,-,88.41,89.2,90.75,88.74
Camden,Brooklawn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Neptune Twp,-,384,341,397,366,-,310,288,319,295,-,80.73,84.46,80.35,80.6
Monmouth,Neptune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Monmouth Regional,-,244,267,261,253,-,230,255,242,237,-,94.26,95.51,92.72,93.68
Monmouth,Monmouth County Vocational,-,407,421,415,444,-,394,402,411,432,-,96.81,95.49,99.04,97.3
Monmouth,Monmouth Beach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Millstone Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Middletown,-,754,743,757,694,-,708,721,704,663,-,93.9,97.04,93,95.53
Monmouth,Manalapan-Englishtown Regional,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Matawan-Aberdeen,-,237,272,279,254,-,216,243,257,239,-,91.14,89.34,92.11,94.09
Monmouth,Marlboro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Manasquan,-,282,272,274,261,-,264,258,259,232,-,93.62,94.85,94.53,88.89
Monmouth,Long Branch,-,320,348,355,333,-,295,316,327,304,-,92.19,90.8,92.11,91.29
Monmouth,Little Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Northvale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Lake Como,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Northern Valley Regional,-,632,631,552,589,-,621,609,548,576,-,98.26,96.51,99.28,97.79
Monmouth,Keyport,-,107,128,108,85,-,92,109,94,74,-,85.98,85.16,87.04,87.06
Bergen,Oakland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Keansburg,-,98,95,115,83,-,86,77,94,66,-,87.76,81.05,81.74,79.52
Bergen,Norwood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Interlaken,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Oradell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Howell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Old Tappan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Holmdel,-,267,281,250,224,-,261,272,244,218,-,97.75,96.8,97.6,97.32
Union,Summit,-,278,307,339,311,-,269,295,326,305,-,96.76,96.09,96.17,98.07
Monmouth,Highlands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Union,Springfield,-,160,158,180,148,-,153,150,161,138,-,95.63,94.94,89.44,93.24
Camden,Sterling Regional,-,240,243,250,269,-,229,234,224,254,-,95.42,96.3,89.6,94.42
Union,Union Twp,-,658,607,590,596,-,616,553,549,554,-,93.62,91.1,93.05,92.95
Union,Union County Vocational,-,314,329,323,344,-,312,327,323,344,-,99.36,99.39,100,100
Union,Roselle,-,244,190,198,202,-,220,141,171,178,-,90.16,74.21,86.36,88.12
Camden,Pine Valley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Pine Hill,-,221,216,193,180,-,209,203,167,163,-,94.57,93.98,86.53,90.56
Union,Scotch Plains-Fanwood,-,394,406,392,393,-,385,391,375,379,-,97.72,96.31,95.66,96.44
Camden,Somerdale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Union,Roselle Park,-,153,160,163,163,-,143,150,157,156,-,93.46,93.75,96.32,95.71
Camden,Runnemede,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Merchantville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Mount Ephraim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Oaklyn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Pennsauken,-,412,386,392,398,-,320,328,328,324,-,77.67,84.97,83.67,81.41
Union,Westfield,-,451,474,431,518,-,439,461,423,507,-,97.34,97.26,98.14,97.88
Union,Winfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Allamuchy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camden,Magnolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Palisades Park,-,108,124,109,112,-,97,108,93,98,-,89.81,87.1,85.32,87.5
Bergen,Paramus,-,329,342,311,289,-,314,335,301,283,-,95.44,97.95,96.78,97.92
Bergen,Park Ridge,-,101,107,100,99,-,99,104,97,95,-,98.02,97.2,97,95.96
Bergen,Pascack Valley Regional,-,518,497,535,515,-,504,489,520,504,-,97.3,98.39,97.2,97.86
Hudson,Bayonne,-,686,640,681,686,-,559,549,587,597,-,81.49,85.78,86.2,87.03
Hudson,East Newark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hudson,Guttenberg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Hazlet,-,268,233,237,233,-,258,230,234,226,-,96.27,98.71,98.73,97
Monmouth,Henry Hudson Regional,-,75,38,51,50,-,70,33,48,42,-,93.33,86.84,94.12,84
Somerset,Manville,-,108,93,98,94,-,100,83,89,90,-,92.59,89.25,90.82,95.74
Somerset,Millstone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Maywood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Midland Park,-,82,81,80,68,-,79,78,76,66,-,96.34,96.3,95,97.06
Bergen,Lyndhurst,-,187,189,189,203,-,177,179,179,190,-,94.65,94.71,94.71,93.6
Bergen,Mahwah,-,264,232,262,233,-,253,226,254,223,-,95.83,97.41,96.95,95.71
Bergen,Lodi,-,254,273,285,231,-,238,246,272,209,-,93.7,90.11,95.44,90.48
Bergen,Northern Highlands Regional,-,372,343,358,347,-,363,339,354,343,-,97.58,98.83,98.88,98.85
Bergen,North Arlington,-,121,132,120,119,-,117,129,114,111,-,96.69,97.73,95,93.28
Bergen,New Milford,-,141,182,164,167,-,140,167,161,158,-,99.29,91.76,98.17,94.61
Bergen,Moonachie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Montvale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,Somerset County Vocational,-,80,100,84,75,-,68,86,77,73,-,85,86,91.67,97.33
Somerset,Rocky Hill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,North Plainfield,-,263,262,237,277,-,250,239,224,239,-,95.06,91.22,94.51,86.28
Somerset,Montgomery,-,446,442,414,411,-,426,429,404,403,-,95.52,97.06,97.58,98.05
Somerset,Warren,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,South Bound Brook,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,Somerville,-,302,311,289,274,-,270,297,278,260,-,89.4,95.5,96.19,94.89
Somerset,Somerset Hills Regional,-,215,209,204,214,-,209,199,198,200,-,97.21,95.22,97.06,93.46
Salem,Upper Pittsgrove,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Garfield,-,303,338,275,303,-,254,298,224,274,-,83.83,88.17,81.45,90.43
Bergen,Glen Rock,-,195,195,164,204,-,191,194,163,199,-,97.95,99.49,99.39,97.55
Bergen,Hackensack,-,513,479,454,507,-,464,433,418,456,-,90.45,90.4,92.07,89.94
Bergen,Harrington Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Little Ferry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,Hillsborough,-,598,581,536,597,-,565,562,524,568,-,94.48,96.73,97.76,95.14
Bergen,Leonia,-,181,177,157,175,-,167,163,147,168,-,92.27,92.09,93.63,96
Bergen,Haworth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Hasbrouck Heights,-,137,135,177,144,-,127,129,168,143,-,92.7,95.56,94.92,99.31
Bergen,Ho-Ho-Kus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Hillsdale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,Bedminster,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Woodstown-Pilesgrove Regional,-,177,188,187,150,-,173,179,178,135,-,97.74,95.21,95.19,90
Somerset,Bound Brook,-,146,123,164,154,-,113,101,133,119,-,77.4,82.11,81.1,77.27
Somerset,Bernards Twp,-,464,467,492,460,-,455,455,482,448,-,98.06,97.43,97.97,97.39
Somerset,Bridgewater-Raritan Regional,-,735,701,747,760,-,701,665,710,719,-,95.37,94.86,95.05,94.61
Somerset,Branchburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,Green Brook,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,Franklin Twp,-,591,583,578,585,-,506,512,493,516,-,85.62,87.82,85.29,88.21
Sussex,High Point Regional,-,261,252,244,248,-,247,238,228,234,-,94.64,94.44,93.44,94.35
Sussex,Hopatcong,-,162,152,131,121,-,143,133,120,115,-,88.27,87.5,91.6,95.04
Sussex,Hampton Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Hardyston,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Edgewater,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Elmwood Park,-,207,202,181,214,-,185,182,166,192,-,89.37,90.1,91.71,89.72
Bergen,East Rutherford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Fair Lawn,-,383,399,355,377,-,362,386,343,368,-,94.52,96.74,96.62,97.61
Bergen,Englewood Cliffs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Englewood,-,306,297,299,299,-,251,257,261,258,-,82.03,86.53,87.29,86.29
Bergen,Emerson,-,92,106,104,97,-,86,102,102,96,-,93.48,96.23,98.08,98.97
Bergen,Franklin Lakes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Fort Lee,-,259,252,264,249,-,252,245,257,240,-,97.3,97.22,97.35,96.39
Bergen,Fairview,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
