,,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%)
County  ,School District Name  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  
Hudson,Harrison,-,181,184,186,197,-,166,174,171,187,-,91.71,94.57,91.94,94.92
Morris,Victory Gardens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Essex,Bloomfield,-,499,539,481,530,-,449,484,439,477,-,89.98,89.8,91.27,90
Bergen,River Dell Regional,-,287,264,283,242,-,283,255,279,232,-,98.61,96.59,98.59,95.87
Essex,East Orange,-,692,642,653,646,-,523,480,501,511,-,75.58,74.77,76.72,79.1
Hudson,Secaucus,-,137,134,135,145,-,133,126,133,138,-,97.08,94.03,98.52,95.17
Bergen,Ridgewood,-,427,436,429,444,-,416,417,418,432,-,97.42,95.64,97.44,97.3
Essex,Cedar Grove,-,114,117,124,146,-,112,113,122,142,-,98.25,96.58,98.39,97.26
Hudson,North Bergen,-,672,699,617,661,-,579,578,527,546,-,86.16,82.69,85.41,82.6
Atlantic,Margate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,River Vale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Essex,Essex Fells,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hudson,Kearny,-,446,452,466,468,-,403,407,428,428,-,90.36,90.04,91.85,91.45
Morris,Riverdale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,River Edge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Essex,Essex County Vocational,-,503,531,499,512,-,479,516,482,488,-,95.23,97.18,96.59,95.31
