"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"Bergen","Hasbrouck Heights","38","9","4","4","4","6","2","2","3","6","4","5","1,409","1,409","1,398","1,555","-","1,292","1,309","1,346","1,415","-","398,728","402,324","417,411","412,260","405,202","4,627","4,627","4,627","4,627","4,627","4,433","4,433","4,433","4,433","4,433","95.81","95.81","95.81","95.81","95.81","3,093","3,093","3,093","3,093","3,093","69.77","69.77","69.77","69.77","69.77"
"Morris","Jefferson","26","11","5","10","6","9","10","5","7","1","5","10","528","661","673","827","-","1,113","1,235","1,383","1,394","-","295,686","295,862","303,322","301,745","306,948","8,597","8,597","8,597","8,597","8,597","7,830","7,830","7,830","7,830","7,830","91.08","91.08","91.08","91.08","91.08","6,835","6,835","6,835","6,835","6,835","87.29","87.29","87.29","87.29","87.29"
"Middlesex","South Plainfield","18","6","102","40","40","60","61","59","57","0","41","63","1,403","1,440","1,374","1,469","-","1,472","1,553","1,557","1,691","-","333,114","330,687","322,342","329,800","341,630","8,093","8,093","8,093","8,093","8,093","7,876","7,876","7,876","7,876","7,876","97.32","97.32","97.32","97.32","97.32","6,605","6,605","6,605","6,605","6,605","83.86","83.86","83.86","83.86","83.86"
"Bergen","Fort Lee","37","9","53","119","667","122","79","30","487","6","331","535","6,774","6,518","6,483","6,624","-","1,464","1,563","1,633","1,665","-","509,344","507,914","470,925","472,726","509,098","17,818","17,818","17,818","17,818","17,818","16,371","16,371","16,371","16,371","16,371","91.88","91.88","91.88","91.88","91.88","10,117","10,117","10,117","10,117","10,117","61.8","61.8","61.8","61.8","61.8"
"Middlesex","South Amboy","19","6","0","20","98","77","24","1","0","0","21","147","1,393","1,277","1,267","1,343","-","1,191","1,167","998","1,159","-","260,611","257,209","257,419","267,086","280,759","3,576","3,576","3,576","3,576","3,576","3,372","3,372","3,372","3,372","3,372","94.3","94.3","94.3","94.3","94.3","2,221","2,221","2,221","2,221","2,221","65.87","65.87","65.87","65.87","65.87"
"Bergen","Glen Rock","38","5","8","10","6","10","11","13","6","0","11","6","241","241","214","262","-","1,961","1,557","1,891","1,840","-","587,438","599,592","598,667","607,816","628,467","4,016","4,016","4,016","4,016","4,016","3,917","3,917","3,917","3,917","3,917","97.53","97.53","97.53","97.53","97.53","3,612","3,612","3,612","3,612","3,612","92.21","92.21","92.21","92.21","92.21"
"Bergen","Edgewater","32","9","156","139","34","300","29","193","32","0","21","319","3,667","3,849","3,709","3,564","-","2,100","2,137","2,174","2,268","-","489,875","521,565","561,548","586,309","644,353","6,282","6,282","6,282","6,282","6,282","5,637","5,637","5,637","5,637","5,637","89.73","89.73","89.73","89.73","89.73","2,196","2,196","2,196","2,196","2,196","38.96","38.96","38.96","38.96","38.96"
"Bergen","Fair Lawn","38","5","48","11","2","15","44","3","48","0","10","26","2,449","2,421","2,252","2,023","-","1,413","1,423","1,463","1,602","-","350,578","358,798","368,836","389,817","397,664","12,266","12,266","12,266","12,266","12,266","11,930","11,930","11,930","11,930","11,930","97.26","97.26","97.26","97.26","97.26","9,418","9,418","9,418","9,418","9,418","78.94","78.94","78.94","78.94","78.94"
"Monmouth","Asbury Park","11","6","2","64","2","342","7","5","2","0","62","47","5,213","5,334","5,310","5,245","-","1,058","1,063","1,089","1,160","-","257,674","259,681","261,802","287,594","316,490","8,076","8,076","8,076","8,076","8,076","6,725","6,725","6,725","6,725","6,725","83.27","83.27","83.27","83.27","83.27","1,359","1,359","1,359","1,359","1,359","20.21","20.21","20.21","20.21","20.21"
"Monmouth","Allenhurst","11","6","3","0","2","1","0","1","1","0","0","1","79","80","72","59","-","988","960","1,021","1,075","-","1,561,991","1,811,218","1,770,997","1,913,408","2,083,019","365","365","365","365","365","217","217","217","217","217","59.45","59.45","59.45","59.45","59.45","145","145","145","145","145","66.82","66.82","66.82","66.82","66.82"
