"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"Gloucester","Harrison Twp","5","2","51","17","77","28","23","52","34","3","79","20","397","379","419","459","-","908","947","1,323","1,338","-","325,210","330,850","338,101","341,378","349,346","4,089","4,089","4,089","4,089","4,089","3,942","3,942","3,942","3,942","3,942","96.4","96.4","96.4","96.4","96.4","3,532","3,532","3,532","3,532","3,532","89.6","89.6","89.6","89.6","89.6"
"Mercer","Hopewell Twp","15","12","19","15","12","3","12","60","8","0","5","4","336","376","356","409","-","1,517","1,548","1,241","1,711","-","467,204","476,398","490,347","502,822","494,299","6,551","6,551","6,551","6,551","6,551","6,282","6,282","6,282","6,282","6,282","95.89","95.89","95.89","95.89","95.89","5,780","5,780","5,780","5,780","5,780","92.01","92.01","92.01","92.01","92.01"
"Gloucester","Greenwich","3","1","2","2","3","1","3","1","2","1","3","1","276","340","367","349","-","1,139","1,065","1,026","1,154","-","162,921","167,936","166,451","168,418","174,170","2,048","2,048","2,048","2,048","2,048","1,946","1,946","1,946","1,946","1,946","95.02","95.02","95.02","95.02","95.02","1,613","1,613","1,613","1,613","1,613","82.89","82.89","82.89","82.89","82.89"
"Ocean","Beach Haven","9","2","36","31","30","32","32","38","27","0","31","34","64","57","48","42","-","1,167","1,258","1,175","1,292","-","793,531","809,877","813,452","833,300","880,815","2,667","2,667","2,667","2,667","2,667","531","531","531","531","531","19.91","19.91","19.91","19.91","19.91","391","391","391","391","391","73.63","73.63","73.63","73.63","73.63"
"Mercer","Hopewell","15","12","2","1","13","1","1","0","2","0","1","1","178","168","179","166","-","1,516","1,386","1,393","1,487","-","397,564","408,361","404,440","426,921","429,690","817","817","817","817","817","778","778","778","778","778","95.23","95.23","95.23","95.23","95.23","578","578","578","578","578","74.29","74.29","74.29","74.29","74.29"
"Mercer","Hamilton","14","4","141","26","192","81","21","44","51","10","18","10","8,317","8,784","8,789","8,629","-","1,100","1,100","1,102","1,168","-","225,049","220,548","218,471","220,485","224,409","36,170","36,170","36,170","36,170","36,170","34,534","34,534","34,534","34,534","34,534","95.48","95.48","95.48","95.48","95.48","26,033","26,033","26,033","26,033","26,033","75.38","75.38","75.38","75.38","75.38"
"Gloucester","Franklin Twp","3","2","10","7","13","9","11","8","9","1","12","3","612","539","600","518","-","1,299","1,258","1,194","1,191","-","194,651","194,964","196,047","196,742","199,665","6,104","6,104","6,104","6,104","6,104","5,849","5,849","5,849","5,849","5,849","95.82","95.82","95.82","95.82","95.82","5,239","5,239","5,239","5,239","5,239","89.57","89.57","89.57","89.57","89.57"
"Mercer","East Windsor","14","12","3","73","54","2","1","4","0","0","70","1","3,407","3,238","3,151","3,367","-","1,178","1,205","1,248","1,295","-","256,474","253,705","261,386","262,167","271,563","10,851","10,851","10,851","10,851","10,851","10,224","10,224","10,224","10,224","10,224","94.22","94.22","94.22","94.22","94.22","7,093","7,093","7,093","7,093","7,093","69.38","69.38","69.38","69.38","69.38"
"Gloucester","East Greenwich","3","1, 2","32","50","67","50","101","44","38","6","56","75","297","320","314","221","-","1,120","1,120","1,163","1,200","-","277,085","283,573","288,432","295,823","300,359","3,405","3,405","3,405","3,405","3,405","3,262","3,262","3,262","3,262","3,262","95.8","95.8","95.8","95.8","95.8","2,996","2,996","2,996","2,996","2,996","91.85","91.85","91.85","91.85","91.85"
"Ocean","Eagleswood","9","2","4","5","6","5","7","1","4","0","8","6","53","39","39","33","-","1,346","1,142","1,152","1,583","-","261,140","258,202","245,632","235,938","246,827","760","760","760","760","760","621","621","621","621","621","81.71","81.71","81.71","81.71","81.71","535","535","535","535","535","86.15","86.15","86.15","86.15","86.15"
"Ocean","Harvey Cedars","9","2","10","21","18","25","21","6","13","3","14","24","9","8","8","3","-","1,188","1,250","1,375","-","-","1,019,851","1,041,193","1,019,464","1,009,551","1,026,688","1,214","1,214","1,214","1,214","1,214","169","169","169","169","169","13.92","13.92","13.92","13.92","13.92","154","154","154","154","154","91.12","91.12","91.12","91.12","91.12"
"Ocean","Beachwood","9","3","7","5","7","6","11","11","6","0","6","6","505","518","541","535","-","1,572","1,585","1,614","1,581","-","222,697","222,223","219,778","222,163","227,177","3,826","3,826","3,826","3,826","3,826","3,682","3,682","3,682","3,682","3,682","96.24","96.24","96.24","96.24","96.24","3,238","3,238","3,238","3,238","3,238","87.94","87.94","87.94","87.94","87.94"
"Ocean","Brick","10","3","167","142","215","97","87","80","125","45","152","83","4,794","4,575","4,915","4,866","-","1,272","1,260","1,265","1,330","-","297,279","300,629","305,700","305,740","319,322","33,677","33,677","33,677","33,677","33,677","29,842","29,842","29,842","29,842","29,842","88.61","88.61","88.61","88.61","88.61","24,863","24,863","24,863","24,863","24,863","83.32","83.32","83.32","83.32","83.32"
"Gloucester","Mantua","5","2","0","0","0","0","0","0","0","0","0","0","690","590","456","493","-","1,039","1,045","1,083","1,217","-","210,818","208,609","213,350","217,328","220,200","5,980","5,980","5,980","5,980","5,980","5,719","5,719","5,719","5,719","5,719","95.64","95.64","95.64","95.64","95.64","5,167","5,167","5,167","5,167","5,167","90.35","90.35","90.35","90.35","90.35"
"Essex","Orange","34","10","155","84","160","0","2","4","9","0","132","0","8,920","8,718","3,662","9,000","-","1,039","1,044","1,041","1,064","-","191,127","194,693","198,738","210,679","206,781","12,222","12,222","12,222","12,222","12,222","11,202","11,202","11,202","11,202","11,202","91.65","91.65","91.65","91.65","91.65","2,807","2,807","2,807","2,807","2,807","25.06","25.06","25.06","25.06","25.06"
"Middlesex","Dunellen","22","12","3","4","3","5","5","3","1","-","2","1","592","589","664","675","-","1,275","1,261","1,213","1,242","-","249,211","260,782","267,200","262,665","273,712","2,683","2,683","2,683","2,683","2,683","2,566","2,566","2,566","2,566","2,566","95.64","95.64","95.64","95.64","95.64","1,651","1,651","1,651","1,651","1,651","64.34","64.34","64.34","64.34","64.34"
"Middlesex","Cranbury","14","12","2","1","65","13","112","1","1","0","33","32","161","196","199","213","-","1,033","1,098","1,142","1,323","-","570,298","603,752","576,203","615,478","625,876","1,371","1,371","1,371","1,371","1,371","1,320","1,320","1,320","1,320","1,320","96.28","96.28","96.28","96.28","96.28","1,120","1,120","1,120","1,120","1,120","84.85","84.85","84.85","84.85","84.85"
"Mercer","West Windsor","15","12","28","2","1","207","82","50","42","0","0","1","2,399","2,448","2,387","2,474","-","1,748","1,771","1,842","1,911","-","562,439","565,306","578,473","584,795","569,562","9,810","9,810","9,810","9,810","9,810","9,449","9,449","9,449","9,449","9,449","96.32","96.32","96.32","96.32","96.32","7,127","7,127","7,127","7,127","7,127","75.43","75.43","75.43","75.43","75.43"
"Gloucester","Deptford","5","1","52","83","42","49","54","38","43","9","32","21","2,644","2,931","2,975","3,159","-","1,044","1,115","1,111","1,117","-","177,090","172,341","178,442","185,705","186,731","12,361","12,361","12,361","12,361","12,361","11,689","11,689","11,689","11,689","11,689","94.56","94.56","94.56","94.56","94.56","8,939","8,939","8,939","8,939","8,939","76.47","76.47","76.47","76.47","76.47"
"Essex","West Orange","27","10, 11","11","14","306","12","108","11","25","0","8","9","4,916","5,030","5,318","5,217","-","1,361","1,369","1,399","1,450","-","347,053","359,868","365,458","376,437","385,581","17,612","17,612","17,612","17,612","17,612","16,790","16,790","16,790","16,790","16,790","95.33","95.33","95.33","95.33","95.33","11,698","11,698","11,698","11,698","11,698","69.67","69.67","69.67","69.67","69.67"
"Mercer","Robbinsville","14","4","53","104","54","67","58","41","53","21","62","22","680","737","775","597","-","1,430","1,513","1,529","1,625","-","366,176","378,647","383,387","383,762","400,388","5,277","5,277","5,277","5,277","5,277","5,087","5,087","5,087","5,087","5,087","96.4","96.4","96.4","96.4","96.4","4,564","4,564","4,564","4,564","4,564","89.72","89.72","89.72","89.72","89.72"
"Essex","West Caldwell","26","11","10","2","0","1","1","27","12","0","1","2","530","551","537","557","-","1,693","1,719","1,736","1,760","-","421,318","444,386","465,352","484,002","490,257","4,009","4,009","4,009","4,009","4,009","3,913","3,913","3,913","3,913","3,913","97.61","97.61","97.61","97.61","97.61","3,394","3,394","3,394","3,394","3,394","86.74","86.74","86.74","86.74","86.74"
"Essex","South Orange","27","10","216","2","0","24","2","0","1","0","0","0","1,552","1,615","1,600","1,605","-","1,579","1,599","1,581","1,578","-","526,048","538,039","555,935","601,379","619,262","5,815","5,815","5,815","5,815","5,815","5,516","5,516","5,516","5,516","5,516","94.86","94.86","94.86","94.86","94.86","3,919","3,919","3,919","3,919","3,919","71.05","71.05","71.05","71.05","71.05"
"Mercer","Pennington","15","12","0","0","0","16","30","0","0","0","0","21","192","193","178","200","-","1,386","1,393","1,416","1,407","-","498,288","506,602","497,530","498,031","509,451","1,083","1,083","1,083","1,083","1,083","1,031","1,031","1,031","1,031","1,031","95.2","95.2","95.2","95.2","95.2","817","817","817","817","817","79.24","79.24","79.24","79.24","79.24"
"Warren","Pohatcong","23","7","1","1","0","1","1","0","1","0","0","1","132","169","150","166","-","1,357","1,305","1,333","1,604","-","176,976","168,540","170,115","176,273","177,265","1,420","1,420","1,420","1,420","1,420","1,310","1,310","1,310","1,310","1,310","92.25","92.25","92.25","92.25","92.25","1,129","1,129","1,129","1,129","1,129","86.18","86.18","86.18","86.18","86.18"
"Warren","Washington","23","5","14","0","1","0","51","10","0","0","4","0","1,101","1,018","1,128","1,189","-","982","968","1,028","1,089","-","169,230","170,044","173,995","179,920","176,584","2,897","2,897","2,897","2,897","2,897","2,623","2,623","2,623","2,623","2,623","90.54","90.54","90.54","90.54","90.54","1,504","1,504","1,504","1,504","1,504","57.34","57.34","57.34","57.34","57.34"
"Warren","White","24","5","1","1","1","1","0","0","1","0","2","1","435","452","412","413","-","789","803","798","879","-","239,200","262,426","256,851","251,412","258,979","2,304","2,304","2,304","2,304","2,304","2,115","2,115","2,115","2,115","2,115","91.8","91.8","91.8","91.8","91.8","1,740","1,740","1,740","1,740","1,740","82.27","82.27","82.27","82.27","82.27"
"Morris","Chatham","21","11","6","13","12","20","16","4","8","3","12","13","605","590","567","568","-","1,560","1,585","1,688","1,690","-","742,241","767,115","788,110","808,260","868,641","3,210","3,210","3,210","3,210","3,210","3,073","3,073","3,073","3,073","3,073","95.73","95.73","95.73","95.73","95.73","2,438","2,438","2,438","2,438","2,438","79.34","79.34","79.34","79.34","79.34"
"Gloucester","Woodbury","5","1","1","0","2","1","2","0","1","0","0","1","1,451","1,569","1,672","1,563","-","863","899","962","1,057","-","146,572","146,945","141,256","139,487","141,291","4,456","4,456","4,456","4,456","4,456","4,088","4,088","4,088","4,088","4,088","91.74","91.74","91.74","91.74","91.74","2,379","2,379","2,379","2,379","2,379","58.19","58.19","58.19","58.19","58.19"
"Morris","Chatham Twp","27","11","24","30","29","27","26","22","26","0","30","23","609","579","525","501","-","1,856","1,889","1,878","1,955","-","830,459","854,992","872,843","888,782","910,801","4,128","4,128","4,128","4,128","4,128","3,915","3,915","3,915","3,915","3,915","94.84","94.84","94.84","94.84","94.84","3,205","3,205","3,205","3,205","3,205","81.86","81.86","81.86","81.86","81.86"
"Hudson","West New York","32","8","114","355","219","453","23","418","5","0","83","227","14,963","15,234","15,046","14,943","-","1,157","1,174","1,200","1,217","-","270,070","274,146","297,011","309,158","359,263","20,018","20,018","20,018","20,018","20,018","18,852","18,852","18,852","18,852","18,852","94.18","94.18","94.18","94.18","94.18","4,020","4,020","4,020","4,020","4,020","21.32","21.32","21.32","21.32","21.32"
"Morris","Chester Twp","25","7","7","3","3","2","3","4","5","0","4","4","64","66","86","114","-","-","-","2,193","2,104","-","674,635","682,640","680,503","685,672","689,917","2,697","2,697","2,697","2,697","2,697","2,592","2,592","2,592","2,592","2,592","96.11","96.11","96.11","96.11","96.11","2,435","2,435","2,435","2,435","2,435","93.94","93.94","93.94","93.94","93.94"
"Morris","Denville","25","11","39","97","15","12","12","9","6","1","12","8","842","801","808","898","-","1,712","1,642","1,724","1,746","-","447,025","463,793","431,352","433,004","434,492","6,734","6,734","6,734","6,734","6,734","6,432","6,432","6,432","6,432","6,432","95.52","95.52","95.52","95.52","95.52","5,519","5,519","5,519","5,519","5,519","85.81","85.81","85.81","85.81","85.81"
"Hunterdon","Milford","23","7","1","0","1","0","0","1","0","0","1","0","152","159","192","188","-","1,147","1,147","1,186","1,178","-","214,181","230,001","228,148","233,167","241,511","552","552","552","552","552","520","520","520","520","520","94.2","94.2","94.2","94.2","94.2","364","364","364","364","364","70","70","70","70","70"
"Morris","East Hanover","27","11","23","10","4","8","6","7","6","1","5","7","272","346","315","280","-","1,381","1,435","1,720","1,986","-","512,173","482,935","466,410","473,425","482,734","3,976","3,976","3,976","3,976","3,976","3,893","3,893","3,893","3,893","3,893","97.91","97.91","97.91","97.91","97.91","3,647","3,647","3,647","3,647","3,647","93.68","93.68","93.68","93.68","93.68"
"Ocean","Point Pleasant","30","3, 4","56","20","32","32","19","14","10","2","34","42","1,066","1,102","1,189","1,355","-","1,390","1,452","1,437","1,462","-","388,181","389,261","389,416","399,729","418,719","8,331","8,331","8,331","8,331","8,331","7,273","7,273","7,273","7,273","7,273","87.3","87.3","87.3","87.3","87.3","5,824","5,824","5,824","5,824","5,824","80.08","80.08","80.08","80.08","80.08"
"Cumberland","Downe","1","2","5","4","0","2","0","2","7","0","5","0","85","95","82","129","-","1,057","927","965","944","-","136,328","138,195","130,052","137,944","126,036","996","996","996","996","996","646","646","646","646","646","64.86","64.86","64.86","64.86","64.86","564","564","564","564","564","87.31","87.31","87.31","87.31","87.31"
"Morris","Hanover","27","11","7","21","2","17","5","94","168","0","8","15","757","773","745","848","-","2,100","2,065","2,032","1,980","-","437,935","458,069","472,222","476,501","465,147","5,526","5,526","5,526","5,526","5,526","5,308","5,308","5,308","5,308","5,308","96.06","96.06","96.06","96.06","96.06","4,469","4,469","4,469","4,469","4,469","84.19","84.19","84.19","84.19","84.19"
"Ocean","Plumsted","12","4","5","4","2","5","2","6","7","1","5","3","421","420","439","500","-","1,184","1,224","1,189","1,217","-","292,548","302,363","300,320","303,465","312,123","3,067","3,067","3,067","3,067","3,067","2,936","2,936","2,936","2,936","2,936","95.73","95.73","95.73","95.73","95.73","2,564","2,564","2,564","2,564","2,564","87.33","87.33","87.33","87.33","87.33"
"Essex","Essex Fells","27","11","4","5","5","3","1","0","3","0","1","3","40","45","17,911","33","-","2,000","2,850","2,071","3,018","-","929,087","939,594","932,928","1,008,546","989,896","758","758","758","758","758","728","728","728","728","728","96.04","96.04","96.04","96.04","96.04","686","686","686","686","686","94.23","94.23","94.23","94.23","94.23"
"Morris","Harding","27","11","5","7","8","3","7","7","4","0","8","4","175","123","98","91","-","1,440","1,826","1,788","1,788","-","1,303,916","1,338,440","1,299,844","1,312,892","1,328,346","1,610","1,610","1,610","1,610","1,610","1,474","1,474","1,474","1,474","1,474","91.55","91.55","91.55","91.55","91.55","1,297","1,297","1,297","1,297","1,297","87.99","87.99","87.99","87.99","87.99"
"Gloucester","Elk","3","2","1","9","37","18","6","0","3","2","19","11","115","157","173","123","-","846","795","789","856","-","206,297","209,116","209,848","209,584","216,102","1,576","1,576","1,576","1,576","1,576","1,474","1,474","1,474","1,474","1,474","93.53","93.53","93.53","93.53","93.53","1,320","1,320","1,320","1,320","1,320","89.55","89.55","89.55","89.55","89.55"
"Ocean","Point Pleasant Beach","10","4","51","37","18","9","0","39","45","0","14","4","598","606","585","555","-","1,549","1,521","1,484","1,516","-","561,850","567,757","566,502","578,296","587,605","3,373","3,373","3,373","3,373","3,373","1,985","1,985","1,985","1,985","1,985","58.85","58.85","58.85","58.85","58.85","1,280","1,280","1,280","1,280","1,280","64.48","64.48","64.48","64.48","64.48"
"Gloucester","Pitman","4","2","0","0","3","0","5","0","0","0","2","3","883","773","820","800","-","987","999","1,020","1,146","-","175,403","177,951","177,275","175,743","178,816","3,705","3,705","3,705","3,705","3,705","3,489","3,489","3,489","3,489","3,489","94.17","94.17","94.17","94.17","94.17","2,552","2,552","2,552","2,552","2,552","73.14","73.14","73.14","73.14","73.14"
"Camden","Audubon Park","5","1","0","0","0","0","0","0","0","0","0","0","429","438","412","392","-","749","746","751","797","-","-","-","-","-","-","499","499","499","499","499","493","493","493","493","493","98.8","98.8","98.8","98.8","98.8","183","183","183","183","183","37.12","37.12","37.12","37.12","37.12"
"Camden","Lawnside","5","1","0","0","2","0","0","1","0","0","0","0","238","244","311","339","-","791","786","794","832","-","145,230","137,772","145,039","135,795","137,893","1,174","1,174","1,174","1,174","1,174","1,103","1,103","1,103","1,103","1,103","93.95","93.95","93.95","93.95","93.95","796","796","796","796","796","72.17","72.17","72.17","72.17","72.17"
"Cape May","Cape May","1","2","16","16","17","5","6","7","13","1","13","3","529","415","357","331","-","860","854","837","916","-","612,888","612,919","649,250","644,794","665,644","4,155","4,155","4,155","4,155","4,155","1,457","1,457","1,457","1,457","1,457","35.07","35.07","35.07","35.07","35.07","791","791","791","791","791","54.29","54.29","54.29","54.29","54.29"
"Hudson","Weehawken","33","8","507","5","560","239","946","16","836","0","4","8","3,478","3,824","3,866","4,161","-","1,222","1,269","1,382","1,386","-","588,136","543,704","604,837","633,136","715,368","6,213","6,213","6,213","6,213","6,213","5,712","5,712","5,712","5,712","5,712","91.94","91.94","91.94","91.94","91.94","1,939","1,939","1,939","1,939","1,939","33.95","33.95","33.95","33.95","33.95"
"Middlesex","Jamesburg","14","12","1","0","0","2","2","4","0","0","1","1","852","706","757","595","-","1,109","1,090","1,007","1,049","-","233,378","228,888","233,067","232,518","231,870","2,267","2,267","2,267","2,267","2,267","2,172","2,172","2,172","2,172","2,172","95.81","95.81","95.81","95.81","95.81","1,409","1,409","1,409","1,409","1,409","64.87","64.87","64.87","64.87","64.87"
"Hudson","Union City","33","8","31","175","76","155","99","12","8","0","81","102","18,305","18,604","18,896","18,532","-","1,095","1,113","1,128","1,177","-","250,903","266,747","279,090","301,486","322,084","24,931","24,931","24,931","24,931","24,931","22,814","22,814","22,814","22,814","22,814","91.51","91.51","91.51","91.51","91.51","4,583","4,583","4,583","4,583","4,583","20.09","20.09","20.09","20.09","20.09"
"Middlesex","Helmetta","18","12","0","0","0","0","0","0","0","0","0","0","126","164","172","182","-","1,654","1,586","1,649","1,722","-","218,897","221,428","228,657","228,126","238,726","920","920","920","920","920","891","891","891","891","891","96.85","96.85","96.85","96.85","96.85","778","778","778","778","778","87.32","87.32","87.32","87.32","87.32"
"Ocean","Lavallette","10","3","103","53","44","36","39","68","90","4","50","37","64","87","120","107","-","1,500","1,536","1,153","1,099","-","738,051","753,835","797,747","783,638","799,486","3,207","3,207","3,207","3,207","3,207","945","945","945","945","945","29.47","29.47","29.47","29.47","29.47","748","748","748","748","748","79.15","79.15","79.15","79.15","79.15"
"Hunterdon","Bloomsbury","23","7","1","0","0","0","0","0","0","0","0","1","54","55","45","45","-","1,331","1,340","1,018","994","-","241,023","223,633","228,946","226,512","233,761","358","358","358","358","358","337","337","337","337","337","94.13","94.13","94.13","94.13","94.13","274","274","274","274","274","81.31","81.31","81.31","81.31","81.31"
"Ocean","Little Egg Harbor","9","2","251","181","91","178","27","156","185","5","110","115","1,200","1,279","1,337","1,250","-","1,316","1,326","1,267","1,334","-","208,826","199,254","200,020","201,825","206,294","10,324","10,324","10,324","10,324","10,324","8,060","8,060","8,060","8,060","8,060","78.07","78.07","78.07","78.07","78.07","6,775","6,775","6,775","6,775","6,775","84.06","84.06","84.06","84.06","84.06"
"Middlesex","Milltown","17","12","0","67","20","0","0","0","23","0","0","0","504","435","422","442","-","1,255","1,229","1,211","1,562","-","310,326","312,104","321,582","326,071","334,899","2,698","2,698","2,698","2,698","2,698","2,599","2,599","2,599","2,599","2,599","96.33","96.33","96.33","96.33","96.33","2,167","2,167","2,167","2,167","2,167","83.38","83.38","83.38","83.38","83.38"
"Hunterdon","Alexandria","23","7","4","7","1","2","0","4","3","0","0","1","12","0","47","52","-","-","-","-","-","-","418,601","409,731","416,242","413,761","415,184","1,865","1,865","1,865","1,865","1,865","1,758","1,758","1,758","1,758","1,758","94.26","94.26","94.26","94.26","94.26","1,562","1,562","1,562","1,562","1,562","88.85","88.85","88.85","88.85","88.85"
"Ocean","Long Beach","9","2","158","114","97","119","123","166","116","5","109","103","51","45","77","58","-","1,431","1,313","1,599","1,214","-","994,562","1,012,829","1,001,126","1,014,588","1,040,237","9,216","9,216","9,216","9,216","9,216","1,539","1,539","1,539","1,539","1,539","16.7","16.7","16.7","16.7","16.7","1,319","1,319","1,319","1,319","1,319","85.71","85.71","85.71","85.71","85.71"
"Middlesex","Metuchen","18","6","19","227","129","141","32","21","15","2","182","135","991","1,085","1,132","1,142","-","1,603","1,521","1,519","1,495","-","388,659","403,328","411,980","410,310","411,606","5,440","5,440","5,440","5,440","5,440","5,243","5,243","5,243","5,243","5,243","96.38","96.38","96.38","96.38","96.38","4,113","4,113","4,113","4,113","4,113","78.45","78.45","78.45","78.45","78.45"
"Ocean","Manchester","10","4","8","11","5","1","1","23","10","2","8","1","2,121","2,516","2,754","2,908","-","1,143","1,136","1,099","1,142","-","174,986","179,991","184,151","185,132","186,124","25,886","25,886","25,886","25,886","25,886","22,840","22,840","22,840","22,840","22,840","88.23","88.23","88.23","88.23","88.23","20,352","20,352","20,352","20,352","20,352","89.11","89.11","89.11","89.11","89.11"
"Ocean","Mantoloking","10","3","28","20","9","12","18","1","13","1","9","6","5","3","3","4","-","2,100","2,250","2,375","-","-","2,351,802","2,392,774","2,474,669","2,536,529","2,659,697","535","535","535","535","535","162","162","162","162","162","30.28","30.28","30.28","30.28","30.28","152","152","152","152","152","93.83","93.83","93.83","93.83","93.83"
"Middlesex","Edison","18","6","109","60","65","57","282","39","34","5","71","32","12,296","13,086","13,294","13,235","-","1,377","1,352","1,386","1,438","-","367,083","393,363","398,419","412,839","435,409","36,302","36,302","36,302","36,302","36,302","34,972","34,972","34,972","34,972","34,972","96.34","96.34","96.34","96.34","96.34","22,870","22,870","22,870","22,870","22,870","65.4","65.4","65.4","65.4","65.4"
"Ocean","Ocean Twp","9","3","161","52","16","13","7","79","127","1","11","9","235","366","462","490","-","1,541","1,304","1,423","1,517","-","275,604","280,919","283,304","291,396","292,502","4,291","4,291","4,291","4,291","4,291","3,483","3,483","3,483","3,483","3,483","81.17","81.17","81.17","81.17","81.17","3,096","3,096","3,096","3,096","3,096","88.89","88.89","88.89","88.89","88.89"
"Ocean","Pine Beach","9","3","2","0","5","3","1","0","3","0","0","1","46","38","40","43","-","1,719","1,618","1,618","1,170","-","297,875","289,621","295,555","303,850","313,626","903","903","903","903","903","818","818","818","818","818","90.59","90.59","90.59","90.59","90.59","723","723","723","723","723","88.39","88.39","88.39","88.39","88.39"
"Middlesex","Sayreville","19","6","17","125","143","15","45","59","105","0","4","9","4,907","4,974","5,338","5,550","-","1,142","1,160","1,182","1,222","-","275,493","284,227","291,333","292,894","301,195","16,393","16,393","16,393","16,393","16,393","15,636","15,636","15,636","15,636","15,636","95.38","95.38","95.38","95.38","95.38","10,921","10,921","10,921","10,921","10,921","69.85","69.85","69.85","69.85","69.85"
"Hudson","East Newark","32","8","2","0","2","3","6","0","2","0","2","3","558","563","566","566","-","1,233","1,292","1,319","1,315","-","229,118","227,593","229,580","259,322","321,369","794","794","794","794","794","759","759","759","759","759","95.59","95.59","95.59","95.59","95.59","221","221","221","221","221","29.12","29.12","29.12","29.12","29.12"
"Gloucester","Woolwich","3","2","71","44","163","47","76","124","42","10","135","77","560","619","664","669","-","1,436","1,481","1,499","1,623","-","305,061","305,911","312,688","319,233","329,186","3,275","3,275","3,275","3,275","3,275","3,141","3,141","3,141","3,141","3,141","95.91","95.91","95.91","95.91","95.91","2,834","2,834","2,834","2,834","2,834","90.23","90.23","90.23","90.23","90.23"
"Hudson","Hoboken","33","8","253","457","61","692","161","319","276","2","23","0","16,644","16,642","17,053","16,467","-","1,829","1,931","2,001","2,100","-","588,753","615,480","699,666","754,916","775,685","26,855","26,855","26,855","26,855","26,855","25,041","25,041","25,041","25,041","25,041","93.25","93.25","93.25","93.25","93.25","8,049","8,049","8,049","8,049","8,049","32.14","32.14","32.14","32.14","32.14"
"Middlesex","North Brunswick","17","12","6","4","82","38","27","8","1","16","33","3","5,956","5,865","5,970","5,846","-","1,452","1,447","1,477","1,546","-","284,027","287,861","284,668","288,286","292,041","15,045","15,045","15,045","15,045","15,045","14,551","14,551","14,551","14,551","14,551","96.72","96.72","96.72","96.72","96.72","8,867","8,867","8,867","8,867","8,867","60.94","60.94","60.94","60.94","60.94"
"Hudson","Guttenberg","32","8","4","4","3","89","11","6","2","0","3","2","3,041","2,978","3,136","3,008","-","1,261","1,292","1,309","1,332","-","285,085","284,415","301,244","331,776","347,073","4,839","4,839","4,839","4,839","4,839","4,473","4,473","4,473","4,473","4,473","92.44","92.44","92.44","92.44","92.44","1,700","1,700","1,700","1,700","1,700","38.01","38.01","38.01","38.01","38.01"
"Middlesex","Monroe","14","12","369","387","351","414","402","481","412","20","246","317","1,272","1,486","1,648","1,538","-","1,535","1,568","1,576","1,455","-","310,329","335,644","355,140","364,182","376,768","18,002","18,002","18,002","18,002","18,002","16,497","16,497","16,497","16,497","16,497","91.64","91.64","91.64","91.64","91.64","15,420","15,420","15,420","15,420","15,420","93.47","93.47","93.47","93.47","93.47"
"Middlesex","Piscataway","17","6","15","14","14","376","11","63","38","0","9","143","5,547","5,510","5,260","5,134","-","1,397","1,430","1,449","1,474","-","283,927","304,985","305,255","306,142","345,438","17,777","17,777","17,777","17,777","17,777","17,050","17,050","17,050","17,050","17,050","95.91","95.91","95.91","95.91","95.91","11,830","11,830","11,830","11,830","11,830","69.38","69.38","69.38","69.38","69.38"
"Hudson","North Bergen","32","8","0","0","0","0","241","0","0","0","0","2","12,239","12,416","12,616","13,220","-","1,155","1,211","1,259","1,300","-","255,646","275,823","295,421","325,123","346,341","23,912","23,912","23,912","23,912","23,912","22,062","22,062","22,062","22,062","22,062","92.26","92.26","92.26","92.26","92.26","8,715","8,715","8,715","8,715","8,715","39.5","39.5","39.5","39.5","39.5"
"Middlesex","Perth Amboy","19","6","25","157","122","84","24","4","31","1","34","2","10,740","10,916","10,843","11,063","-","1,167","1,166","1,193","1,241","-","237,206","223,914","237,336","230,329","247,338","16,556","16,556","16,556","16,556","16,556","15,419","15,419","15,419","15,419","15,419","93.13","93.13","93.13","93.13","93.13","5,470","5,470","5,470","5,470","5,470","35.48","35.48","35.48","35.48","35.48"
"Hudson","Kearny","32","8, 9","156","5","96","285","10","13","1","0","12","86","7,177","7,147","7,019","6,860","-","1,181","1,184","1,190","1,212","-","306,048","320,726","322,934","335,215","356,959","14,180","14,180","14,180","14,180","14,180","13,462","13,462","13,462","13,462","13,462","94.94","94.94","94.94","94.94","94.94","6,163","6,163","6,163","6,163","6,163","45.78","45.78","45.78","45.78","45.78"
