"","","","","Census Population","Census Population","Census Population","Census Population","Census Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","% Change","% Change","% Change","% Change","% Change","Population 25+","Population 25+","Population 25+","Population 25+","Population 25+","College Grads","College Grads","College Grads","College Grads","College Grads","% College Grads","% College Grads","% College Grads","% College Grads","% College Grads","Foreign Born","Foreign Born","Foreign Born","Foreign Born","Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","African American","African American","African American","African American","African American","% African American","% African American","% African American","% African American","% African American","Asian","Asian","Asian","Asian","Asian","% Asian","% Asian","% Asian","% Asian","% Asian","Hispanic","Hispanic","Hispanic","Hispanic","Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","Age 65+","Age 65+","Age 65+","Age 65+","Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+"
"Gloucester","Deptford","5","1","30,561","30,561","30,561","30,561","30,561","30,483","30,569","30,613","30,582","30,430","-0.26","0.03","0.17","0.07","-0.43","21,476","21,677","21,855","21,826","-","4,692","4,631","3,236","4,832","-","21.85","21.36","14.81","22.14","-","2,439","2,426","2,534","2,400","-","7.98","7.94","8.28","7.85","-","3,717","3,717","3,717","3,717","3,717","12.16","12.16","12.16","12.16","12.16","1,361","1,361","1,361","1,361","1,361","4.45","4.45","4.45","4.45","4.45","1,830","1,830","1,830","1,830","1,830","5.99","5.99","5.99","5.99","5.99","1,876","1,876","1,876","1,876","1,876","6.14","6.14","6.14","6.14","6.14","4,597","4,597","4,597","4,597","4,597","15.04","15.04","15.04","15.04","15.04"
"Essex","West Orange","27","10, 11","46,207","46,207","46,207","46,207","46,207","46,995","47,390","47,249","48,435","47,720","1.71","2.56","2.26","4.82","3.27","32,405","32,772","33,102","33,387","-","15,650","15,859","9,774","17,150","-","48.3","48.39","29.53","51.37","-","13,529","13,229","13,464","13,939","-","28.97","28.14","28.62","29.28","-","12,284","12,284","12,284","12,284","12,284","26.58","26.58","26.58","26.58","26.58","3,680","3,680","3,680","3,680","3,680","7.96","7.96","7.96","7.96","7.96","7,487","7,487","7,487","7,487","7,487","16.2","16.2","16.2","16.2","16.2","3,056","3,056","3,056","3,056","3,056","6.61","6.61","6.61","6.61","6.61","7,362","7,362","7,362","7,362","7,362","15.93","15.93","15.93","15.93","15.93"
"Mercer","Robbinsville","14","4","13,642","13,642","13,642","13,642","13,642","14,112","14,176","14,282","14,757","14,583","3.45","3.91","4.69","8.17","6.9","9,385","9,512","9,465","9,683","-","5,280","5,388","3,525","5,842","-","56.26","56.64","37.24","60.33","-","2,085","1,919","2,005","2,173","-","14.94","13.62","14.2","15.22","-","426","426","426","426","426","3.12","3.12","3.12","3.12","3.12","1,729","1,729","1,729","1,729","1,729","12.67","12.67","12.67","12.67","12.67","564","564","564","564","564","4.13","4.13","4.13","4.13","4.13","883","883","883","883","883","6.47","6.47","6.47","6.47","6.47","1,319","1,319","1,319","1,319","1,319","9.67","9.67","9.67","9.67","9.67"
"Essex","West Caldwell","26","11","10,759","10,759","10,759","10,759","10,759","11,030","11,060","10,928","11,021","10,868","2.52","2.8","1.57","2.44","1.01","7,744","7,745","7,881","8,008","-","3,886","3,752","2,583","3,952","-","50.18","48.44","32.78","49.35","-","1,222","1,443","1,506","1,487","-","11.21","13.19","13.89","13.6","-","136","136","136","136","136","1.26","1.26","1.26","1.26","1.26","421","421","421","421","421","3.91","3.91","3.91","3.91","3.91","523","523","523","523","523","4.86","4.86","4.86","4.86","4.86","551","551","551","551","551","5.12","5.12","5.12","5.12","5.12","2,094","2,094","2,094","2,094","2,094","19.46","19.46","19.46","19.46","19.46"
"Essex","South Orange","27","10","16,198","16,198","16,198","16,198","16,198","16,362","16,380","16,319","17,001","16,743","1.01","1.12","0.75","4.96","3.36","9,594","9,573","9,423","9,615","-","6,513","6,559","3,373","6,656","-","67.89","68.52","35.8","69.23","-","2,665","2,644","2,542","2,364","-","16.36","16.22","15.61","14.32","-","4,642","4,642","4,642","4,642","4,642","28.66","28.66","28.66","28.66","28.66","836","836","836","836","836","5.16","5.16","5.16","5.16","5.16","993","993","993","993","993","6.13","6.13","6.13","6.13","6.13","1,024","1,024","1,024","1,024","1,024","6.32","6.32","6.32","6.32","6.32","1,705","1,705","1,705","1,705","1,705","10.53","10.53","10.53","10.53","10.53"
"Mercer","Pennington","15","12","2,585","2,585","2,585","2,585","2,585","2,584","2,598","2,568","2,589","2,531","-0.04","0.5","-0.66","0.15","-2.09","1,799","1,818","1,764","1,781","-","1,261","1,269","549","1,263","-","70.09","69.8","31.12","70.92","-","231","251","224","243","-","8.93","9.66","8.73","9.38","-","47","47","47","47","47","1.82","1.82","1.82","1.82","1.82","46","46","46","46","46","1.78","1.78","1.78","1.78","1.78","37","37","37","37","37","1.43","1.43","1.43","1.43","1.43","130","130","130","130","130","5.03","5.03","5.03","5.03","5.03","460","460","460","460","460","17.79","17.79","17.79","17.79","17.79"
"Warren","Pohatcong","23","7","3,339","3,339","3,339","3,339","3,339","3,259","3,242","3,232","3,231","3,197","-2.4","-2.91","-3.2","-3.23","-4.25","2,123","2,105","2,135","2,237","-","530","478","339","599","-","24.96","22.71","15.88","26.78","-","91","100","112","139","-","2.77","3.05","3.44","4.27","-","53","53","53","53","53","1.59","1.59","1.59","1.59","1.59","30","30","30","30","30","0.9","0.9","0.9","0.9","0.9","116","116","116","116","116","3.47","3.47","3.47","3.47","3.47","196","196","196","196","196","5.87","5.87","5.87","5.87","5.87","499","499","499","499","499","14.94","14.94","14.94","14.94","14.94"
"Warren","Washington","23","5","6,461","6,461","6,461","6,461","6,461","6,466","6,498","6,492","6,524","6,452","0.08","0.57","0.48","0.98","-0.14","4,139","4,359","4,515","4,645","-","956","1,169","825","1,185","-","23.1","26.82","18.27","25.51","-","816","906","744","698","-","12.67","14.01","11.47","10.71","-","388","388","388","388","388","6.01","6.01","6.01","6.01","6.01","221","221","221","221","221","3.42","3.42","3.42","3.42","3.42","549","549","549","549","549","8.5","8.5","8.5","8.5","8.5","415","415","415","415","415","6.42","6.42","6.42","6.42","6.42","682","682","682","682","682","10.56","10.56","10.56","10.56","10.56"
"Warren","White","24","5","4,882","4,882","4,882","4,882","4,882","4,769","4,743","4,740","4,747","4,687","-2.31","-2.85","-2.91","-2.77","-3.99","3,945","3,717","3,755","3,634","-","623","567","578","886","-","15.79","15.25","15.39","24.38","-","278","277","211","209","-","5.77","5.8","4.42","4.38","-","99","99","99","99","99","2.03","2.03","2.03","2.03","2.03","37","37","37","37","37","0.76","0.76","0.76","0.76","0.76","134","134","134","134","134","2.74","2.74","2.74","2.74","2.74","156","156","156","156","156","3.2","3.2","3.2","3.2","3.2","1,410","1,410","1,410","1,410","1,410","28.88","28.88","28.88","28.88","28.88"
"Morris","Chatham","21","11","8,962","8,962","8,962","8,962","8,962","9,022","8,993","8,977","8,928","8,765","0.67","0.35","0.17","-0.38","-2.2","5,603","5,603","5,538","5,589","-","4,154","4,041","2,220","4,190","-","74.14","72.12","40.09","74.97","-","1,169","1,235","1,419","1,416","-","12.99","13.71","15.71","15.73","-","89","89","89","89","89","0.99","0.99","0.99","0.99","0.99","435","435","435","435","435","4.85","4.85","4.85","4.85","4.85","457","457","457","457","457","5.1","5.1","5.1","5.1","5.1","869","869","869","869","869","9.7","9.7","9.7","9.7","9.7","912","912","912","912","912","10.18","10.18","10.18","10.18","10.18"
"Gloucester","Woodbury","5","1","10,174","10,174","10,174","10,174","10,174","10,016","10,020","9,962","9,919","9,852","-1.55","-1.51","-2.08","-2.51","-3.16","6,787","6,663","6,718","6,616","-","1,804","1,967","1,242","1,993","-","26.58","29.52","18.49","30.12","-","586","648","708","700","-","5.8","6.42","7.06","7.01","-","2,534","2,534","2,534","2,534","2,534","24.91","24.91","24.91","24.91","24.91","130","130","130","130","130","1.28","1.28","1.28","1.28","1.28","1,085","1,085","1,085","1,085","1,085","10.66","10.66","10.66","10.66","10.66","710","710","710","710","710","6.98","6.98","6.98","6.98","6.98","1,423","1,423","1,423","1,423","1,423","13.99","13.99","13.99","13.99","13.99"
"Morris","Chatham Twp","27","11","10,452","10,452","10,452","10,452","10,452","10,615","10,585","10,466","10,435","10,284","1.56","1.27","0.13","-0.16","-1.61","7,170","7,187","7,091","6,915","-","5,262","5,396","2,883","5,259","-","73.39","75.08","40.66","76.05","-","1,414","1,417","1,534","1,522","-","13.35","13.41","14.57","14.49","-","78","78","78","78","78","0.75","0.75","0.75","0.75","0.75","665","665","665","665","665","6.36","6.36","6.36","6.36","6.36","349","349","349","349","349","3.34","3.34","3.34","3.34","3.34","587","587","587","587","587","5.62","5.62","5.62","5.62","5.62","1,582","1,582","1,582","1,582","1,582","15.14","15.14","15.14","15.14","15.14"
"Hudson","West New York","32","8","49,708","49,708","49,708","49,708","49,708","52,597","53,366","53,343","54,227","52,990","5.81","7.36","7.31","9.09","6.6","36,333","36,744","36,988","37,879","-","8,846","8,920","6,263","10,051","-","24.35","24.28","16.93","26.53","-","29,719","30,759","31,171","31,999","-","57.69","59.31","59.48","59.99","-","2,289","2,289","2,289","2,289","2,289","4.6","4.6","4.6","4.6","4.6","2,986","2,986","2,986","2,986","2,986","6.01","6.01","6.01","6.01","6.01","38,812","38,812","38,812","38,812","38,812","78.08","78.08","78.08","78.08","78.08","3,694","3,694","3,694","3,694","3,694","7.43","7.43","7.43","7.43","7.43","5,940","5,940","5,940","5,940","5,940","11.95","11.95","11.95","11.95","11.95"
"Morris","Chester Twp","25","7","7,838","7,838","7,838","7,838","7,838","7,945","7,963","7,921","7,915","7,777","1.37","1.59","1.06","0.98","-0.78","5,100","5,208","5,218","5,307","-","3,486","3,729","2,062","3,734","-","68.35","71.6","39.52","70.36","-","925","957","1,005","1,088","-","11.67","12.05","12.67","13.72","-","82","82","82","82","82","1.05","1.05","1.05","1.05","1.05","274","274","274","274","274","3.5","3.5","3.5","3.5","3.5","341","341","341","341","341","4.35","4.35","4.35","4.35","4.35","357","357","357","357","357","4.55","4.55","4.55","4.55","4.55","1,035","1,035","1,035","1,035","1,035","13.2","13.2","13.2","13.2","13.2"
"Morris","Denville","25","11","16,635","16,635","16,635","16,635","16,635","16,829","16,818","16,735","16,941","16,669","1.17","1.1","0.6","1.84","0.2","12,015","12,047","11,809","11,759","-","5,989","6,072","3,654","6,622","-","49.85","50.4","30.94","56.31","-","1,854","1,746","1,758","1,755","-","11.03","10.38","10.46","10.43","-","236","236","236","236","236","1.42","1.42","1.42","1.42","1.42","1,084","1,084","1,084","1,084","1,084","6.52","6.52","6.52","6.52","6.52","883","883","883","883","883","5.31","5.31","5.31","5.31","5.31","865","865","865","865","865","5.2","5.2","5.2","5.2","5.2","2,618","2,618","2,618","2,618","2,618","15.74","15.74","15.74","15.74","15.74"
"Hunterdon","Milford","23","7","1,233","1,233","1,233","1,233","1,233","1,211","1,204","1,189","1,189","1,180","-1.78","-2.35","-3.57","-3.57","-4.3","811","836","976","980","-","266","289","210","327","-","32.8","34.57","21.52","33.37","-","31","31","36","25","-","2.91","2.76","2.83","1.95","-","3","3","3","3","3","0.24","0.24","0.24","0.24","0.24","12","12","12","12","12","0.97","0.97","0.97","0.97","0.97","27","27","27","27","27","2.19","2.19","2.19","2.19","2.19","69","69","69","69","69","5.6","5.6","5.6","5.6","5.6","197","197","197","197","197","15.98","15.98","15.98","15.98","15.98"
"Morris","East Hanover","27","11","11,157","11,157","11,157","11,157","11,157","11,289","11,269","11,228","11,234","11,054","1.18","1","0.64","0.69","-0.92","8,184","8,075","8,391","8,226","-","3,235","3,118","2,134","3,440","-","39.53","38.61","25.43","41.82","-","2,342","2,557","2,708","2,570","-","20.81","22.73","24.11","22.86","-","93","93","93","93","93","0.83","0.83","0.83","0.83","0.83","1,330","1,330","1,330","1,330","1,330","11.92","11.92","11.92","11.92","11.92","600","600","600","600","600","5.38","5.38","5.38","5.38","5.38","477","477","477","477","477","4.28","4.28","4.28","4.28","4.28","2,149","2,149","2,149","2,149","2,149","19.26","19.26","19.26","19.26","19.26"
"Ocean","Point Pleasant","30","3, 4","18,392","18,392","18,392","18,392","18,392","18,665","18,523","18,545","18,651","18,684","1.48","0.71","0.83","1.41","1.59","12,806","12,771","12,898","12,935","-","5,083","5,211","3,448","5,410","-","39.69","40.8","26.73","41.82","-","546","670","829","849","-","2.95","3.64","4.49","4.58","-","75","75","75","75","75","0.41","0.41","0.41","0.41","0.41","133","133","133","133","133","0.72","0.72","0.72","0.72","0.72","935","935","935","935","935","5.08","5.08","5.08","5.08","5.08","914","914","914","914","914","4.97","4.97","4.97","4.97","4.97","2,642","2,642","2,642","2,642","2,642","14.36","14.36","14.36","14.36","14.36"
"Cumberland","Downe","1","2","1,585","1,585","1,585","1,585","1,585","1,552","1,519","1,526","1,524","1,501","-2.08","-4.16","-3.72","-3.85","-5.3","1,045","1,076","901","1,183","-","111","122","74","131","-","10.62","11.34","8.21","11.07","-","30","30","25","36","-","2.13","2.01","2.07","2.28","-","41","41","41","41","41","2.59","2.59","2.59","2.59","2.59","4","4","4","4","4","0.25","0.25","0.25","0.25","0.25","61","61","61","61","61","3.85","3.85","3.85","3.85","3.85","82","82","82","82","82","5.17","5.17","5.17","5.17","5.17","324","324","324","324","324","20.44","20.44","20.44","20.44","20.44"
"Morris","Hanover","27","11","13,712","13,712","13,712","13,712","13,712","14,659","14,409","14,686","14,661","14,428","6.91","5.08","7.1","6.92","5.22","9,978","9,919","10,015","10,081","-","4,906","5,039","2,969","5,021","-","49.17","50.8","29.65","49.81","-","2,406","2,340","2,365","2,526","-","17.06","16.51","16.53","17.5","-","138","138","138","138","138","1.01","1.01","1.01","1.01","1.01","1,481","1,481","1,481","1,481","1,481","10.8","10.8","10.8","10.8","10.8","630","630","630","630","630","4.59","4.59","4.59","4.59","4.59","700","700","700","700","700","5.11","5.11","5.11","5.11","5.11","2,486","2,486","2,486","2,486","2,486","18.13","18.13","18.13","18.13","18.13"
"Ocean","Plumsted","12","4","8,421","8,421","8,421","8,421","8,421","8,584","8,513","8,530","8,543","8,548","1.94","1.09","1.29","1.45","1.51","5,638","5,655","5,799","5,716","-","1,140","1,055","829","1,217","-","20.22","18.66","14.3","21.29","-","432","307","318","322","-","5.09","3.63","3.75","3.78","-","152","152","152","152","152","1.81","1.81","1.81","1.81","1.81","73","73","73","73","73","0.87","0.87","0.87","0.87","0.87","498","498","498","498","498","5.91","5.91","5.91","5.91","5.91","427","427","427","427","427","5.07","5.07","5.07","5.07","5.07","961","961","961","961","961","11.41","11.41","11.41","11.41","11.41"
"Essex","Essex Fells","27","11","2,113","2,113","2,113","2,113","2,113","2,095","2,159","2,125","2,137","2,085","-0.85","2.18","0.57","1.14","-1.33","1,395","1,449","1,452","1,419","-","1,038","1,115","604","1,148","-","74.41","76.95","41.6","80.9","-","164","160","164","148","-","7.66","7.43","7.58","7.06","-","23","23","23","23","23","1.09","1.09","1.09","1.09","1.09","46","46","46","46","46","2.18","2.18","2.18","2.18","2.18","42","42","42","42","42","1.99","1.99","1.99","1.99","1.99","120","120","120","120","120","5.68","5.68","5.68","5.68","5.68","341","341","341","341","341","16.14","16.14","16.14","16.14","16.14"
"Morris","Harding","27","11","3,838","3,838","3,838","3,838","3,838","3,866","3,906","3,868","3,873","3,824","0.73","1.77","0.78","0.91","-0.36","2,663","2,753","2,902","2,873","-","1,940","2,003","1,003","2,170","-","72.85","72.76","34.56","75.53","-","422","467","373","324","-","10.93","11.99","9.61","8.34","-","38","38","38","38","38","0.99","0.99","0.99","0.99","0.99","102","102","102","102","102","2.66","2.66","2.66","2.66","2.66","134","134","134","134","134","3.49","3.49","3.49","3.49","3.49","139","139","139","139","139","3.62","3.62","3.62","3.62","3.62","805","805","805","805","805","20.97","20.97","20.97","20.97","20.97"
"Gloucester","Elk","3","2","4,216","4,216","4,216","4,216","4,216","4,234","4,156","4,130","4,175","4,173","0.43","-1.42","-2.04","-0.97","-1.02","2,888","2,804","2,966","2,860","-","821","739","471","731","-","28.43","26.36","15.88","25.56","-","64","80","31","78","-","1.51","1.91","0.75","1.89","-","623","623","623","623","623","14.78","14.78","14.78","14.78","14.78","27","27","27","27","27","0.64","0.64","0.64","0.64","0.64","215","215","215","215","215","5.1","5.1","5.1","5.1","5.1","272","272","272","272","272","6.45","6.45","6.45","6.45","6.45","507","507","507","507","507","12.03","12.03","12.03","12.03","12.03"
"Ocean","Point Pleasant Beach","10","4","4,665","4,665","4,665","4,665","4,665","4,640","4,552","4,544","4,544","4,542","-0.54","-2.42","-2.59","-2.59","-2.64","3,311","3,331","3,393","3,384","-","1,386","1,450","963","1,698","-","41.86","43.53","28.38","50.18","-","398","354","435","374","-","8.53","7.69","9.47","8.17","-","39","39","39","39","39","0.84","0.84","0.84","0.84","0.84","39","39","39","39","39","0.84","0.84","0.84","0.84","0.84","421","421","421","421","421","9.02","9.02","9.02","9.02","9.02","162","162","162","162","162","3.47","3.47","3.47","3.47","3.47","818","818","818","818","818","17.53","17.53","17.53","17.53","17.53"
"Gloucester","Pitman","4","2","9,011","9,011","9,011","9,011","9,011","8,895","8,898","8,874","8,846","8,780","-1.29","-1.25","-1.52","-1.83","-2.56","6,274","6,206","6,176","6,080","-","2,089","2,052","1,249","1,933","-","33.3","33.06","20.22","31.79","-","300","355","287","323","-","3.35","3.97","3.22","3.63","-","103","103","103","103","103","1.14","1.14","1.14","1.14","1.14","56","56","56","56","56","0.62","0.62","0.62","0.62","0.62","222","222","222","222","222","2.46","2.46","2.46","2.46","2.46","462","462","462","462","462","5.13","5.13","5.13","5.13","5.13","1,525","1,525","1,525","1,525","1,525","16.92","16.92","16.92","16.92","16.92"
"Camden","Audubon Park","5","1","1,023","1,023","1,023","1,023","1,023","1,009","1,011","1,011","1,012","1,004","-1.37","-1.17","-1.17","-1.08","-1.86","858","856","825","784","-","91","92","95","116","-","10.61","10.75","11.52","14.8","-","11","12","8","13","-","1.05","1.19","0.81","1.37","-","3","3","3","3","3","0.29","0.29","0.29","0.29","0.29","3","3","3","3","3","0.29","0.29","0.29","0.29","0.29","21","21","21","21","21","2.05","2.05","2.05","2.05","2.05","34","34","34","34","34","3.32","3.32","3.32","3.32","3.32","266","266","266","266","266","26","26","26","26","26"
"Camden","Lawnside","5","1","2,945","2,945","2,945","2,945","2,945","2,909","2,919","2,920","2,920","2,894","-1.22","-0.88","-0.85","-0.85","-1.73","1,981","2,110","2,140","2,152","-","627","602","358","611","-","31.65","28.53","16.73","28.39","-","190","136","139","106","-","6.51","4.65","4.76","3.63","-","2,616","2,616","2,616","2,616","2,616","88.83","88.83","88.83","88.83","88.83","42","42","42","42","42","1.43","1.43","1.43","1.43","1.43","129","129","129","129","129","4.38","4.38","4.38","4.38","4.38","149","149","149","149","149","5.06","5.06","5.06","5.06","5.06","509","509","509","509","509","17.28","17.28","17.28","17.28","17.28"
"Cape May","Cape May","1","2","3,607","3,607","3,607","3,607","3,607","3,535","3,514","3,500","3,480","3,448","-2","-2.58","-2.97","-3.52","-4.41","2,509","2,349","2,313","2,299","-","1,020","1,024","605","1,114","-","40.65","43.59","26.16","48.46","-","102","127","74","85","-","2.85","3.57","2.1","2.43","-","175","175","175","175","175","4.85","4.85","4.85","4.85","4.85","24","24","24","24","24","0.67","0.67","0.67","0.67","0.67","311","311","311","311","311","8.62","8.62","8.62","8.62","8.62","163","163","163","163","163","4.52","4.52","4.52","4.52","4.52","997","997","997","997","997","27.64","27.64","27.64","27.64","27.64"
"Hudson","Weehawken","33","8","12,554","12,554","12,554","12,554","12,554","13,870","14,040","15,138","15,342","14,864","10.48","11.84","20.58","22.21","18.4","10,011","10,229","10,503","11,048","-","5,262","5,508","3,475","6,152","-","52.56","53.85","33.09","55.68","-","4,920","4,937","5,098","4,948","-","37.52","37.36","37.29","34.68","-","606","606","606","606","606","4.83","4.83","4.83","4.83","4.83","1,024","1,024","1,024","1,024","1,024","8.16","8.16","8.16","8.16","8.16","5,055","5,055","5,055","5,055","5,055","40.27","40.27","40.27","40.27","40.27","649","649","649","649","649","5.17","5.17","5.17","5.17","5.17","1,542","1,542","1,542","1,542","1,542","12.28","12.28","12.28","12.28","12.28"
"Middlesex","Jamesburg","14","12","5,915","5,915","5,915","5,915","5,915","6,021","6,029","6,040","6,068","5,951","1.79","1.93","2.11","2.59","0.61","3,984","3,921","3,967","4,071","-","823","870","763","1,290","-","20.66","22.19","19.23","31.69","-","1,071","1,072","1,241","1,590","-","17.96","17.93","20.68","26.33","-","523","523","523","523","523","8.84","8.84","8.84","8.84","8.84","268","268","268","268","268","4.53","4.53","4.53","4.53","4.53","1,324","1,324","1,324","1,324","1,324","22.38","22.38","22.38","22.38","22.38","505","505","505","505","505","8.54","8.54","8.54","8.54","8.54","501","501","501","501","501","8.47","8.47","8.47","8.47","8.47"
"Hudson","Union City","33","8","66,455","66,455","66,455","66,455","66,455","68,668","69,156","69,296","70,387","68,520","3.33","4.06","4.28","5.92","3.11","45,286","46,184","46,988","47,946","-","7,877","7,865","6,143","9,557","-","17.39","17.03","13.07","19.93","-","39,274","40,334","40,160","41,213","-","57.76","58.75","58.23","59.03","-","3,487","3,487","3,487","3,487","3,487","5.25","5.25","5.25","5.25","5.25","1,587","1,587","1,587","1,587","1,587","2.39","2.39","2.39","2.39","2.39","56,291","56,291","56,291","56,291","56,291","84.71","84.71","84.71","84.71","84.71","4,845","4,845","4,845","4,845","4,845","7.29","7.29","7.29","7.29","7.29","6,958","6,958","6,958","6,958","6,958","10.47","10.47","10.47","10.47","10.47"
"Middlesex","Helmetta","18","12","2,178","2,178","2,178","2,178","2,178","2,218","2,231","2,213","2,223","2,182","1.84","2.43","1.61","2.07","0.18","1,674","1,673","1,660","1,729","-","579","601","377","531","-","34.59","35.92","22.71","30.71","-","377","459","399","330","-","15.77","19.53","17.24","14.22","-","86","86","86","86","86","3.95","3.95","3.95","3.95","3.95","106","106","106","106","106","4.87","4.87","4.87","4.87","4.87","164","164","164","164","164","7.53","7.53","7.53","7.53","7.53","137","137","137","137","137","6.29","6.29","6.29","6.29","6.29","210","210","210","210","210","9.64","9.64","9.64","9.64","9.64"
"Ocean","Lavallette","10","3","1,875","1,875","1,875","1,875","1,875","1,833","1,807","1,832","1,849","1,853","-2.24","-3.63","-2.29","-1.39","-1.17","1,731","1,772","1,734","1,756","-","681","685","444","800","-","39.34","38.66","25.61","45.56","-","29","63","90","113","-","1.43","2.99","4.44","5.53","-","2","2","2","2","2","0.11","0.11","0.11","0.11","0.11","10","10","10","10","10","0.53","0.53","0.53","0.53","0.53","56","56","56","56","56","2.99","2.99","2.99","2.99","2.99","32","32","32","32","32","1.71","1.71","1.71","1.71","1.71","757","757","757","757","757","40.37","40.37","40.37","40.37","40.37"
"Hunterdon","Bloomsbury","23","7","870","870","870","870","870","856","848","845","846","840","-1.61","-2.53","-2.87","-2.76","-3.45","512","495","495","497","-","184","183","146","217","-","35.94","36.97","29.49","43.66","-","64","61","55","55","-","8.32","8.47","7.11","7.31","-","9","9","9","9","9","1.03","1.03","1.03","1.03","1.03","16","16","16","16","16","1.84","1.84","1.84","1.84","1.84","35","35","35","35","35","4.02","4.02","4.02","4.02","4.02","61","61","61","61","61","7.01","7.01","7.01","7.01","7.01","80","80","80","80","80","9.2","9.2","9.2","9.2","9.2"
"Ocean","Little Egg Harbor","9","2","20,065","20,065","20,065","20,065","20,065","20,396","20,632","20,818","21,177","21,386","1.65","2.83","3.75","5.54","6.58","14,698","14,771","14,839","15,221","-","2,981","3,284","2,325","3,861","-","20.28","22.23","15.67","25.37","-","758","799","812","923","-","3.73","3.92","3.96","4.46","-","271","271","271","271","271","1.35","1.35","1.35","1.35","1.35","249","249","249","249","249","1.24","1.24","1.24","1.24","1.24","1,047","1,047","1,047","1,047","1,047","5.22","5.22","5.22","5.22","5.22","1,054","1,054","1,054","1,054","1,054","5.25","5.25","5.25","5.25","5.25","4,331","4,331","4,331","4,331","4,331","21.58","21.58","21.58","21.58","21.58"
"Middlesex","Milltown","17","12","6,893","6,893","6,893","6,893","6,893","7,032","7,049","7,132","7,162","7,034","2.02","2.26","3.47","3.9","2.05","5,293","5,128","4,947","5,028","-","2,340","2,241","1,700","1,788","-","44.21","43.7","34.36","35.56","-","785","926","860","954","-","11.26","13.25","12.26","13.5","-","85","85","85","85","85","1.23","1.23","1.23","1.23","1.23","232","232","232","232","232","3.37","3.37","3.37","3.37","3.37","445","445","445","445","445","6.46","6.46","6.46","6.46","6.46","397","397","397","397","397","5.76","5.76","5.76","5.76","5.76","1,023","1,023","1,023","1,023","1,023","14.84","14.84","14.84","14.84","14.84"
"Hunterdon","Alexandria","23","7","4,938","4,938","4,938","4,938","4,938","4,893","4,854","4,784","4,805","4,758","-0.91","-1.7","-3.12","-2.69","-3.65","3,235","3,271","3,274","3,314","-","1,504","1,601","883","1,596","-","46.49","48.95","26.97","48.16","-","251","301","301","253","-","5.11","6.17","6.24","5.25","-","99","99","99","99","99","2","2","2","2","2","90","90","90","90","90","1.82","1.82","1.82","1.82","1.82","159","159","159","159","159","3.22","3.22","3.22","3.22","3.22","209","209","209","209","209","4.23","4.23","4.23","4.23","4.23","622","622","622","622","622","12.6","12.6","12.6","12.6","12.6"
"Ocean","Long Beach","9","2","3,051","3,051","3,051","3,051","3,051","3,060","3,027","3,050","3,065","3,067","0.29","-0.79","-0.03","0.46","0.52","2,610","2,687","2,726","2,772","-","1,381","1,415","791","1,597","-","52.91","52.66","29.02","57.61","-","85","109","104","104","-","2.8","3.6","3.41","3.42","-","8","8","8","8","8","0.26","0.26","0.26","0.26","0.26","15","15","15","15","15","0.49","0.49","0.49","0.49","0.49","126","126","126","126","126","4.13","4.13","4.13","4.13","4.13","66","66","66","66","66","2.16","2.16","2.16","2.16","2.16","1,222","1,222","1,222","1,222","1,222","40.05","40.05","40.05","40.05","40.05"
"Middlesex","Metuchen","18","6","13,574","13,574","13,574","13,574","13,574","13,826","13,886","13,871","14,349","14,382","1.86","2.3","2.19","5.71","5.95","9,762","9,773","9,800","9,942","-","5,932","5,944","3,055","5,912","-","60.77","60.82","31.17","59.46","-","2,600","2,770","2,921","2,819","-","18.97","20.12","21.18","20.22","-","662","662","662","662","662","4.88","4.88","4.88","4.88","4.88","1,759","1,759","1,759","1,759","1,759","12.96","12.96","12.96","12.96","12.96","935","935","935","935","935","6.89","6.89","6.89","6.89","6.89","869","869","869","869","869","6.4","6.4","6.4","6.4","6.4","1,879","1,879","1,879","1,879","1,879","13.84","13.84","13.84","13.84","13.84"
"Ocean","Manchester","10","4","43,070","43,070","43,070","43,070","43,070","43,555","43,542","43,546","43,395","43,416","1.13","1.1","1.11","0.75","0.8","36,949","36,807","37,123","37,105","-","5,904","6,510","5,083","7,884","-","15.98","17.69","13.69","21.25","-","3,738","3,842","3,709","3,694","-","8.65","8.88","8.55","8.51","-","1,654","1,654","1,654","1,654","1,654","3.84","3.84","3.84","3.84","3.84","768","768","768","768","768","1.78","1.78","1.78","1.78","1.78","2,062","2,062","2,062","2,062","2,062","4.79","4.79","4.79","4.79","4.79","1,148","1,148","1,148","1,148","1,148","2.67","2.67","2.67","2.67","2.67","21,601","21,601","21,601","21,601","21,601","50.15","50.15","50.15","50.15","50.15"
