SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,Math,Reading and Writing,TOTAL_AVG,Math_State_avg,Reading_State_avg,TOTAL_STATE_AVG
WALDWICK HIGH SCHOOL,3,5410,30,BERGEN,WALDWICK BORO,556.0,551.0,1107.0,543,542,1085
WALL HIGH SCHOOL,25,5420,50,MONMOUTH,WALL TWP,573.0,566.0,1139.0,543,542,1085
WALLINGTON JUNIOR SENIOR HIGH SCHOOL,3,5430,50,BERGEN,WALLINGTON BORO,517.0,517.0,1034.0,543,542,1085
WALLKILL VALLEY REGIONAL HIGH SCHOOL,37,5435,60,SUSSEX,WALLKILL VALLEY REGIONAL,535.0,545.0,1080.0,543,542,1085
WARREN COUNTY VOCATIONAL TECHNICAL SCHOOL,41,5460,50,WARREN,WARREN COUNTY VOCATIONAL,518.0,548.0,1066.0,543,542,1085
WARREN HILLS REGIONAL HIGH SCHOOL,41,5465,50,WARREN,WARREN HILLS REGIONAL,528.0,555.0,1083.0,543,542,1085
WASHINGTON TOWNSHIP HIGH SCHOOL,15,5500,10,GLOUCESTER,WASHINGTON TWP,544.0,550.0,1094.0,543,542,1085
WATCHUNG HILLS REGIONAL HIGH SCHOOL,35,5550,50,SOMERSET,WATCHUNG HILLS REGIONAL,626.0,622.0,1248.0,543,542,1085
WAYNE HILLS HIGH SCHOOL,31,5570,55,PASSAIC,WAYNE TWP,587.0,568.0,1155.0,543,542,1085
WAYNE VALLEY HIGH SCHOOL,31,5570,50,PASSAIC,WAYNE TWP,577.0,561.0,1138.0,543,542,1085
WEEHAWKEN HIGH SCHOOL,17,5580,50,HUDSON,WEEHAWKEN TWP,491.0,519.0,1010.0,543,542,1085
WEEQUAHIC HIGH SCHOOL,13,3570,70,ESSEX,NEWARK CITY,394.0,413.0,807.0,543,542,1085
WEST CALDWELL TECH,13,1390,80,ESSEX,ESSEX CO VOC-TECH,462.0,473.0,935.0,543,542,1085
WEST DEPTFORD HIGH SCHOOL,15,5620,50,GLOUCESTER,WEST DEPTFORD TWP,531.0,539.0,1070.0,543,542,1085
WEST ESSEX HIGH SCHOOL,13,5630,50,ESSEX,WEST ESSEX REGIONAL,585.0,591.0,1176.0,543,542,1085
WEST MILFORD HIGH SCHOOL,31,5650,40,PASSAIC,WEST MILFORD TWP,529.0,545.0,1074.0,543,542,1085
WEST MORRIS CENTRAL HIGH SCHOOL,27,5660,30,MORRIS,WEST MORRIS REGIONAL,612.0,591.0,1203.0,543,542,1085
WEST MORRIS MENDHAM HIGH SCHOOL,27,5660,50,MORRIS,WEST MORRIS REGIONAL,622.0,622.0,1244.0,543,542,1085
WEST ORANGE HIGH SCHOOL,13,5680,50,ESSEX,WEST ORANGE TOWN,524.0,528.0,1052.0,543,542,1085
WEST SIDE HIGH SCHOOL,13,3570,80,ESSEX,NEWARK CITY,392.0,403.0,795.0,543,542,1085
WEST WINDSOR-PLAINSBORO HIGH SCHOOL NORTH,21,5715,25,MERCER,W WINDSOR-PLAINSBORO REG,690.0,657.0,1347.0,543,542,1085
WEST WINDSOR-PLAINSBORO HIGH SCHOOL SOUTH,21,5715,20,MERCER,W WINDSOR-PLAINSBORO REG,669.0,647.0,1316.0,543,542,1085
WESTFIELD SENIOR HIGH SCHOOL,39,5730,50,UNION,WESTFIELD TOWN,623.0,612.0,1235.0,543,542,1085
WESTWOOD JUNIOR/SENIOR HIGH SCHOOL,3,5755,50,BERGEN,WESTWOOD REGIONAL,560.0,562.0,1122.0,543,542,1085
WHIPPANY PARK HIGH SCHOOL,27,1990,70,MORRIS,HANOVER PARK REGIONAL,570.0,571.0,1141.0,543,542,1085
WILDWOOD HIGH SCHOOL,9,5790,50,CAPE MAY,WILDWOOD CITY,516.0,498.0,1014.0,543,542,1085
WILLIAM L DICKINSON HIGH SCHOOL,17,2390,80,HUDSON,JERSEY CITY,458.0,448.0,906.0,543,542,1085
WILLIAMSTOWN HIGH SCHOOL,15,3280,50,GLOUCESTER,MONROE TWP,525.0,526.0,1051.0,543,542,1085
WILLINGBORO HIGH SCHOOL,5,5805,53,BURLINGTON,WILLINGBORO TWP,440.0,456.0,896.0,543,542,1085
WINSLOW TOWNSHIP HIGH SCHOOL,7,5820,10,CAMDEN,WINSLOW TWP,492.0,504.0,996.0,543,542,1085
WOOD-RIDGE JR/SR HIGH SCHOOL,3,5830,50,BERGEN,WOOD-RIDGE BORO,530.0,530.0,1060.0,543,542,1085
WOODBRIDGE HIGH SCHOOL,23,5850,50,MIDDLESEX,WOODBRIDGE TWP,495.0,500.0,995.0,543,542,1085
WOODBURY JR-SR HIGH SCHOOL,15,5860,50,GLOUCESTER,WOODBURY CITY,508.0,515.0,1023.0,543,542,1085
WOODROW WILSON HIGH SCHOOL,7,680,40,CAMDEN,CAMDEN CITY,375.0,382.0,757.0,543,542,1085
WOODSTOWN HIGH SCHOOL,33,5910,50,SALEM,WOODSTOWN-PILESGROVE REG,542.0,551.0,1093.0,543,542,1085
