"","","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)"
"County  ","School District Name  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  "
"Burlington","Burlington County Vocational","-","2,054","2,062","2,016","2,091","-","15,894,974","15,894,974","15,894,974","15,894,974","-","14,506,026","14,506,026","14,598,661","14,599,895","-","30,401,000","30,401,000","30,493,635","30,494,869","-","47.72","47.72","47.87","47.88","-","14,800.88","14,743.45","15,125.81","14,583.87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ocean","Long Beach Island Consolidated","-","216","217","207","201","-","5,754,105","5,073,482","5,073,482","6,476,536","-","710,789","723,158","726,191","728,456","-","6,464,894","5,796,640","5,799,673","7,204,992","-","10.99","12.48","12.52","10.11","-","29,930.06","26,712.63","28,017.74","35,845.73","-","5,565,403,189","6,144,733,102","5,884,315,568","6,248,106,505","-","118,271,408","128,658,210","129,399,270","141,892,817","-","25,765,755.5","28,316,742.41","28,426,645.26","31,085,106.99","-","547,552.81","592,894.98","625,117.25","705,934.41","-","30","32.27","31.7","32.56","-","2.34","2.48","2.48","2.66"
"Ocean","Manchester","-","2,799.5","2,797","2,760.5","2,752.5","-","40,920,287","41,933,692","41,933,692","45,262,715","-","5,798,745","5,511,130","5,561,621","5,450,389","-","46,719,032","47,444,822","47,495,313","50,713,104","-","12.41","11.62","11.71","10.75","-","16,688.35","16,962.75","17,205.33","18,424.38","-","3,611,001,108","3,710,002,911","3,793,121,953","3,824,088,470","-","815,585,622","852,482,242","887,394,149","917,408,039","-","1,289,873.59","1,326,422.21","1,374,070.62","1,389,314.61","-","291,332.6","304,784.5","321,461.38","333,299.92","-","1.5","1.51","1.53","1.46","-","1.24","1.28","1.27","1.26"
"Ocean","Matoloking","-","3","6","5","3","-","73,002","76,213","76,213","122,334","-","-","-","-","-","-","73,002","76,213","76,213","122,334","-","-","-","-","-","-","24,334","12,702.17","15,242.6","40,778","-","1,269,900,702","1,287,497,263","1,338,452,097","1,438,037,378","-","35,719,657","29,482,374","41,583,776","38,870,608","-","423,300,234","214,582,877.17","267,690,419.4","479,345,792.67","-","11,906,552.33","4,913,729","8,316,755.2","12,956,869.33","-","492.84","244.58","298.51","502.11","-","50.86","20.59","32.97","48.8"
"Cape May","West Wildwood","-","45","39","28","25","-","1,326,507","1,232,343","1,232,343","989,215","-","39,176","39,176","40,334","40,543","-","1,365,683","1,271,519","1,272,677","1,029,758","-","2.87","3.08","3.17","3.94","-","30,348.51","32,603.05","45,452.75","41,190.32","-","238,648,732","225,843,274","233,076,649","227,795,206","-","10,532,196","10,846,392","10,428,559","10,386,816","-","5,303,305.16","5,790,853.18","8,324,166.04","9,111,808.24","-","234,048.8","278,112.62","372,448.54","415,472.64","-","6.17","6.6","9.28","9.54","-","1","1.17","1.48","1.56"
"Ocean","Ocean County Vocational","-","1,344","1,319","1,345.5","1,323","-","17,664,646","17,664,646","17,664,646","18,638,398","-","5,571,665","5,571,665","5,585,095","5,585,095","-","23,236,311","23,236,311","23,249,741","24,223,493","-","23.98","23.98","24.02","23.06","-","17,288.92","17,616.61","17,279.63","18,309.52","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ocean","Ocean Gate","-","143","126","130","134","-","1,537,651","1,564,651","1,564,651","1,744,855","-","1,038,378","929,226","930,446","930,598","-","2,576,029","2,493,877","2,495,097","2,675,453","-","40.31","37.26","37.29","34.78","-","18,014.19","19,792.67","19,193.05","19,966.07","-","136,106,839","127,870,396","127,087,685","142,007,240","-","19,100,277","16,721,554","16,942,733","21,218,939","-","951,796.08","1,014,844.41","977,597.58","1,059,755.52","-","133,568.37","132,710.75","130,328.72","158,350.29","-","1.11","1.16","1.09","1.11","-","0.57","0.56","0.52","0.6"
"Cumberland","Downe","-","195.5","182","179.5","168","-","1,311,526","1,337,757","1,337,757","1,464,606","-","2,325,898","1,855,926","1,857,766","1,820,611","-","3,637,424","3,193,683","3,195,523","3,285,217","-","63.94","58.11","58.14","55.42","-","18,605.75","17,547.71","17,802.36","19,554.86","-","158,427,113","160,529,331","149,931,722","142,334,617","-","25,249,393","24,648,774","25,733,590","26,212,320","-","810,368.86","882,029.29","835,274.22","847,229.86","-","129,152.91","135,432.82","143,362.62","156,025.71","-","0.94","1.01","0.93","0.89","-","0.55","0.57","0.57","0.59"
"Bergen","Wood-Ridge","-","1,096.5","1,099","1,147","1,122","-","15,444,610","15,875,422","15,875,422","17,840,040","-","986,273","778,120","795,314","834,081","-","16,430,883","16,653,542","16,670,736","18,674,121","-","6","4.67","4.77","4.47","-","14,984.85","15,153.36","14,534.21","16,643.6","-","1,158,906,408","1,153,860,082","1,172,444,735","1,474,354,960","-","295,735,442","320,151,188","342,882,646","374,919,410","-","1,056,914.19","1,049,918.18","1,022,183.73","1,314,041.85","-","269,708.57","291,311.36","298,938.66","334,152.77","-","1.23","1.2","1.14","1.38","-","1.15","1.22","1.19","1.26"
"Bergen","Westwood Regional","-","2,752.5","2,762.5","2,801.5","2,789","-","47,481,245","48,430,869","48,430,869","52,679,699","-","2,400,186","1,706,684","1,742,225","1,813,867","-","49,881,431","50,137,553","50,173,094","54,493,566","-","4.81","3.4","3.47","3.33","-","18,122.23","18,149.34","17,909.37","19,538.75","-","3,590,428,991","3,686,560,257","3,666,127,869","3,958,033,835","-","898,132,909","937,956,282","976,889,094","1,010,002,326","-","1,304,424.7","1,334,501.45","1,308,630.33","1,419,158.78","-","326,297.15","339,531.69","348,702.16","362,137.8","-","1.52","1.52","1.46","1.49","-","1.39","1.42","1.38","1.36"
"Cumberland","Cumberland County Vocational","-","340","258.5","418","708","-","2,000,000","2,200,000","2,200,000","2,530,000","-","3,925,903","3,925,903","3,928,676","4,049,193","-","5,925,903","6,125,903","6,128,676","6,579,193","-","66.25","64.09","64.1","61.55","-","17,429.13","23,697.88","14,661.9","9,292.65","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bergen","Wyckoff","-","2,109","2,087","2,072","1,909","-","34,407,661","35,431,541","35,431,541","37,590,307","-","998,412","880,174","905,141","990,656","-","35,406,073","36,311,715","36,336,682","38,580,963","-","2.82","2.42","2.49","2.57","-","16,788.09","17,399","17,537.01","20,210.04","-","2,979,396,469","3,096,188,028","3,139,359,210","3,107,776,503","-","1,052,549,115","1,009,051,678","1,154,093,447","1,188,772,542","-","1,412,705.77","1,483,559.19","1,515,134.75","1,627,960.45","-","499,074.97","483,493.86","556,994.91","622,720.03","-","1.64","1.69","1.69","1.71","-","2.13","2.03","2.21","2.35"
"Cumberland","Commercial","-","755.5","780","738","691","-","1,767,443","1,802,791","1,802,791","1,961,219","-","10,603,620","10,238,670","10,262,823","10,269,118","-","12,371,063","12,041,461","12,065,614","12,230,337","-","85.71","85.03","85.06","83.96","-","16,374.67","15,437.77","16,349.07","17,699.47","-","233,185,928","225,785,853","232,049,645","224,858,678","-","68,158,077","65,183,710","66,827,597","69,055,409","-","308,651.13","289,469.04","314,430.41","325,410.53","-","90,215.85","83,568.86","90,552.3","99,935.47","-","0.36","0.33","0.35","0.34","-","0.39","0.35","0.36","0.38"
"Bergen","Woodcliff Lake","-","762","769","765","724","-","13,586,718","14,013,860","14,013,860","15,259,092","-","489,184","356,147","365,484","390,191","-","14,075,902","14,370,007","14,379,344","15,649,283","-","3.48","2.48","2.54","2.49","-","18,472.31","18,686.62","18,796.53","21,615.03","-","1,384,835,471","1,389,539,496","1,353,728,829","1,329,655,966","-","422,584,433","384,813,940","453,478,363","432,357,347","-","1,817,369.38","1,806,943.43","1,769,580.17","1,836,541.39","-","554,572.75","500,408.24","592,782.17","597,178.66","-","2.12","2.06","1.97","1.92","-","2.37","2.1","2.35","2.25"
"Cumberland","Deerfield","-","312","321","329","287","-","2,449,544","2,498,534","2,498,534","2,771,866","-","2,570,985","2,492,401","2,504,460","2,565,216","-","5,020,529","4,990,935","5,002,994","5,337,082","-","51.21","49.94","50.06","48.06","-","16,091.44","15,548.08","15,206.67","18,596.1","-","129,021,982","127,654,605","132,961,798","134,299,915","-","47,601,770","47,031,142","49,861,488","51,654,141","-","413,531.99","397,677.9","404,139.2","467,943.95","-","152,569.78","146,514.46","151,554.67","179,979.59","-","0.48","0.45","0.45","0.49","-","0.65","0.61","0.6","0.68"
"Burlington","Beverly","-","319","301","302","339","-","2,817,744","2,845,921","2,845,921","2,902,839","-","4,049,885","3,718,301","3,722,302","3,660,781","-","6,867,629","6,564,222","6,568,223","6,563,620","-","58.97","56.64","56.67","55.77","-","21,528.62","21,808.05","21,749.08","19,361.71","-","113,942,659","116,844,261","124,764,977","123,635,005","-","48,541,783","48,426,730","47,943,192","50,864,076","-","357,187.02","388,186.91","413,129.06","364,705.03","-","152,168.6","160,886.15","158,752.29","150,041.52","-","0.42","0.44","0.46","0.38","-","0.65","0.67","0.63","0.57"
"Cumberland","Cumberland Regional","-","1,328","1,287","1,201.5","1,065","-","7,964,436","8,311,335","8,311,335","9,025,280","-","12,151,906","12,145,935","12,244,449","12,390,855","-","20,116,342","20,457,270","20,555,784","21,416,135","-","60.41","59.37","59.57","57.86","-","15,147.85","15,895.31","17,108.43","20,109.05","-","554,789,181","524,466,129","501,894,816","482,719,875","-","181,446,343","175,248,056","169,392,085","164,781,998","-","417,762.94","407,510.59","417,723.53","453,258.1","-","136,631.28","136,167.88","140,983.84","154,724.88","-","0.49","0.46","0.47","0.47","-","0.58","0.57","0.56","0.58"
"Burlington","Bass River","-","110","106","102","101","-","1,346,565","1,427,055","1,427,055","1,514,402","-","885,669","885,669","886,699","868,965","-","2,232,234","2,312,724","2,313,754","2,383,367","-","39.68","38.3","38.32","36.46","-","20,293.04","21,818.15","22,683.86","23,597.69","-","90,648,633","88,480,891","86,422,660","93,036,491","-","16,251,476","16,057,074","17,476,190","17,277,764","-","824,078.48","834,725.39","847,280.98","921,153.38","-","147,740.69","151,481.83","171,335.2","171,066.97","-","0.96","0.95","0.94","0.96","-","0.63","0.63","0.68","0.64"
"Monmouth","Rumson-Fair Haven Regional","-","930","985.5","975.5","977","-","16,316,506","16,851,880","16,851,880","18,686,649","-","477,554","437,846","449,963","500,251","-","16,794,060","17,289,726","17,301,843","19,186,900","-","2.84","2.53","2.6","2.61","-","18,058.13","17,544.12","17,736.38","19,638.59","-","1,591,980,139","1,684,970,216","1,685,988,978","1,867,248,121","-","551,890,210","596,891,486","612,343,615","654,659,174","-","1,711,806.6","1,709,761.76","1,728,333.14","1,911,205.86","-","593,430.33","605,673.76","627,722.82","670,070.8","-","1.99","1.95","1.93","2","-","2.53","2.54","2.49","2.52"
"Monmouth","Sea Bright","-","48","46","35","30","-","556,769","763,476","763,476","516,405","-","-","-","-","-","-","556,769","763,476","763,476","516,405","-","-","-","-","-","-","11,599.35","16,597.3","21,813.6","17,213.5","-","454,808,688","451,097,827","357,935,813","488,638,015","-","52,755,219","62,959,668","43,301,821","56,654,023","-","9,475,181","9,806,474.5","10,226,737.51","16,287,933.83","-","1,099,067.06","1,368,688.43","1,237,194.89","1,888,467.43","-","11.03","11.18","11.4","17.06","-","4.69","5.73","4.9","7.11"
"Monmouth","Roosevelt","-","127","109.5","113.5","108","-","1,591,768","1,570,984","1,570,984","1,524,462","-","980,268","980,268","991,413","1,000,970","-","2,572,036","2,551,252","2,562,397","2,525,432","-","38.11","38.42","38.69","39.64","-","20,252.25","23,299.11","22,576.19","23,383.63","-","85,880,933","82,619,159","86,029,390","89,338,415","-","27,776,368","28,548,102","31,488,676","28,978,886","-","676,227.82","754,512.87","757,968.19","827,207.55","-","218,711.56","260,713.26","277,433.27","268,323.02","-","0.79","0.86","0.85","0.87","-","0.93","1.09","1.1","1.01"
"Monmouth","Rumson","-","960","944","965","951","-","13,961,354","14,315,581","14,315,581","16,078,918","-","549,748","380,733","392,112","433,575","-","14,511,102","14,696,314","14,707,693","16,512,493","-","3.79","2.59","2.67","2.63","-","15,115.73","15,568.13","15,241.13","17,363.29","-","2,212,372,880","2,165,305,534","2,260,182,808","2,380,862,706","-","769,433,423","750,375,104","811,289,948","809,276,798","-","2,304,555.08","2,293,755.86","2,342,158.35","2,503,535.97","-","801,493.15","794,888.88","840,714.97","850,974.55","-","2.68","2.61","2.61","2.62","-","3.42","3.33","3.33","3.2"
"Gloucester","Gloucester County Vocational","-","1,319.5","1,306","1,286","1,441","-","7,675,000","7,800,000","7,800,000","8,150,000","-","7,664,653","7,664,653","7,732,725","7,980,648","-","15,339,653","15,464,653","15,532,725","16,130,648","-","49.97","49.56","49.78","49.48","-","11,625.35","11,841.24","12,078.32","11,194.07","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monmouth","Red Bank","-","1,320","1,346","1,357","1,400","-","14,489,457","15,497,094","15,497,094","17,225,385","-","7,111,154","2,996,370","3,057,374","3,570,056","-","21,600,611","18,493,464","18,554,468","20,795,441","-","32.92","16.2","16.48","17.17","-","16,364.1","13,739.57","13,673.15","14,853.89","-","1,520,037,700","1,532,038,137","1,560,575,818","1,656,405,305","-","277,211,091","295,752,612","325,438,655","344,234,942","-","1,151,543.71","1,138,215.55","1,150,019.03","1,183,146.65","-","210,008.4","219,727.05","239,822.15","245,882.1","-","1.34","1.3","1.28","1.24","-","0.9","0.92","0.95","0.93"
"Gloucester","Glassboro","-","2,071","2,063.5","2,069.5","1,888","-","18,066,610","18,091,942","18,091,942","19,651,946","-","17,171,789","16,453,397","16,554,309","16,571,091","-","35,238,399","34,545,339","34,646,251","36,223,037","-","48.73","47.63","47.78","45.75","-","17,015.16","16,741.14","16,741.36","19,185.93","-","1,098,527,640","1,144,980,768","1,168,542,218","1,216,448,826","-","369,804,260","380,215,461","399,170,587","429,959,931","-","530,433.43","554,873.16","564,649.54","644,305.52","-","178,563.14","184,257.55","192,882.62","227,733.01","-","0.62","0.63","0.63","0.67","-","0.76","0.77","0.76","0.86"
"Monmouth","Red Bank Regional","-","947.5","944.5","990.5","1,026","-","20,190,016","20,590,000","20,590,000","21,924,781","-","1,141,395","1,013,506","1,028,707","1,047,307","-","21,331,411","21,603,506","21,618,707","22,972,088","-","5.35","4.69","4.76","4.56","-","22,513.36","22,872.96","21,826.05","22,389.95","-","1,256,563,578","1,260,592,393","1,350,662,261","1,441,002,107","-","285,476,969","290,689,859","338,869,262","360,553,721","-","1,326,188.47","1,334,666.38","1,363,616.62","1,404,485.48","-","301,294.95","307,771.16","342,119.4","351,416.88","-","1.54","1.52","1.52","1.47","-","1.29","1.29","1.36","1.32"
"Monmouth","Ocean Twp","-","3,753.5","3,665.5","3,575","3,410.5","-","58,643,552","60,221,552","60,221,552","64,307,696","-","8,270,258","7,692,974","7,770,200","7,614,796","-","66,913,810","67,914,526","67,991,752","71,922,492","-","12.36","11.33","11.43","10.59","-","17,827.04","18,528.04","19,018.67","21,088.55","-","4,694,283,981","4,822,560,760","4,896,089,922","5,269,784,142","-","1,174,839,382","1,183,337,469","1,242,233,180","1,304,977,259","-","1,250,641.8","1,315,662.46","1,369,535.64","1,545,164.68","-","312,998.37","322,831.12","347,477.81","382,635.17","-","1.46","1.5","1.53","1.62","-","1.34","1.35","1.38","1.44"
"Monmouth","Oceanport","-","552","513","536","546","-","8,214,791","8,183,516","8,183,516","9,539,996","-","445,197","439,595","446,744","457,470","-","8,659,988","8,623,111","8,630,260","9,997,466","-","5.14","5.1","5.18","4.58","-","15,688.38","16,809.18","16,101.23","18,310.38","-","806,099,582","811,855,788","851,465,021","868,268,556","-","212,370,159","199,849,518","216,189,746","213,480,068","-","1,460,325.33","1,582,564.89","1,588,554.14","1,590,235.45","-","384,728.55","389,570.21","403,339.08","390,989.14","-","1.7","1.8","1.77","1.67","-","1.64","1.63","1.6","1.47"
"Monmouth","Sea Girt","-","187","183","159","142.5","-","4,214,209","4,338,065","4,338,065","4,603,588","-","104,828","104,828","109,475","112,818","-","4,319,037","4,442,893","4,447,540","4,716,406","-","2.43","2.36","2.46","2.39","-","23,096.45","24,278.1","27,971.95","33,097.59","-","2,159,565,758","2,282,967,621","2,273,980,283","2,553,864,138","-","198,949,765","212,583,043","275,756,113","202,452,218","-","11,548,479.99","12,475,232.9","14,301,762.79","17,921,853.6","-","1,063,902.49","1,161,655.97","1,734,315.18","1,420,717.32","-","13.45","14.22","15.95","18.77","-","4.54","4.87","6.88","5.35"
"Monmouth","Shore Regional","-","621","613","611","633","-","13,852,556","13,852,556","13,852,556","15,117,134","-","521,611","439,299","447,363","471,868","-","14,374,167","14,291,855","14,299,919","15,589,002","-","3.63","3.07","3.13","3.03","-","23,146.81","23,314.61","23,404.12","24,627.18","-","1,277,534,522","1,272,139,059","1,470,295,376","1,620,665,128","-","274,888,358","270,686,727","304,804,053","327,245,429","-","2,057,221.45","2,075,267.63","2,406,375.41","2,560,292.46","-","442,654.36","441,577.04","498,860.97","516,975.4","-","2.4","2.37","2.68","2.68","-","1.89","1.85","1.98","1.95"
"Burlington","Edgewater Park","-","1,030","1,000","983","993","-","8,556,158","8,938,914","8,938,914","9,789,797","-","6,713,038","6,619,235","6,676,517","6,860,711","-","15,269,196","15,558,149","15,615,431","16,650,508","-","43.96","42.55","42.76","41.2","-","14,824.46","15,558.15","15,885.48","16,767.88","-","583,545,674","539,564,141","542,192,107","529,767,656","-","176,561,404","176,588,759","182,041,168","186,402,636","-","566,549.2","539,564.14","551,568.78","533,502.17","-","171,418.84","176,588.76","185,189.39","187,716.65","-","0.66","0.61","0.62","0.56","-","0.73","0.74","0.73","0.71"
"Burlington","Evesham","-","4,564.5","4,452","4,402","4,370","-","53,325,445","54,750,302","54,750,302","59,358,120","-","13,785,407","13,477,181","13,519,426","13,519,426","-","67,110,852","68,227,483","68,269,728","72,877,546","-","20.54","19.75","19.8","18.55","-","14,702.78","15,325.13","15,508.8","16,676.78","-","3,435,711,334","3,490,378,824","3,472,554,251","3,725,083,547","-","1,238,313,557","1,258,632,808","1,324,407,352","1,401,185,760","-","752,702.67","784,002.43","788,858.3","852,421.86","-","271,292.27","282,711.77","300,864.91","320,637.47","-","0.88","0.89","0.88","0.89","-","1.16","1.18","1.19","1.21"
"Burlington","Delran","-","2,997","3,036","3,034","3,000","-","28,374,222","29,341,706","29,341,706","32,048,864","-","11,982,191","11,535,570","11,649,439","12,517,676","-","40,356,413","40,877,276","40,991,145","44,566,540","-","29.69","28.22","28.42","28.09","-","13,465.6","13,464.19","13,510.59","14,855.51","-","1,536,289,648","1,493,223,582","1,470,364,437","1,590,059,892","-","512,647,885","530,426,785","553,731,399","583,417,087","-","512,609.16","491,839.12","484,629.02","530,019.96","-","171,053.68","174,712.38","182,508.7","194,472.36","-","0.6","0.56","0.54","0.56","-","0.73","0.73","0.72","0.73"
"Burlington","Eastampton","-","608","608","598","600","-","4,138,341","4,296,661","4,296,661","4,673,060","-","4,669,869","4,641,777","4,647,677","4,590,695","-","8,808,210","8,938,438","8,944,338","9,263,755","-","53.02","51.93","51.96","49.56","-","14,487.19","14,701.38","14,957.09","15,439.59","-","310,130,447","310,711,896","298,891,747","318,485,908","-","109,860,561","116,400,795","116,542,701","124,889,003","-","510,082.97","511,039.3","499,818.97","530,809.85","-","180,691.71","191,448.68","194,887.46","208,148.34","-","0.59","0.58","0.56","0.56","-","0.77","0.8","0.77","0.78"
"Burlington","Cinnaminson","-","2,431","2,460","2,490","2,557","-","30,251,332","31,187,085","31,187,085","33,448,562","-","9,379,627","8,995,720","9,052,948","9,070,845","-","39,630,959","40,182,805","40,240,033","42,519,407","-","23.67","22.39","22.5","21.33","-","16,302.33","16,334.47","16,160.66","16,628.63","-","1,736,857,589","1,778,805,361","1,800,051,860","1,765,246,604","-","580,286,184","608,902,813","625,676,438","665,809,841","-","714,462.19","723,091.61","722,912.39","690,358.47","-","238,702.67","247,521.47","251,275.68","260,387.11","-","0.83","0.82","0.81","0.72","-","1.02","1.04","1","0.98"
"Burlington","Delanco","-","520","515","513","514","-","5,597,301","5,560,840","5,560,840","5,959,063","-","2,519,797","2,485,655","2,492,244","2,492,244","-","8,117,098","8,046,495","8,053,084","8,451,307","-","31.04","30.89","30.95","29.49","-","15,609.8","15,624.26","15,698.02","16,442.23","-","418,237,842","415,711,059","415,350,484","413,602,961","-","127,277,614","130,944,775","137,159,813","140,677,026","-","804,303.54","807,205.94","809,650.07","804,675.02","-","244,764.64","254,261.7","267,368.06","273,690.71","-","0.94","0.92","0.9","0.84","-","1.05","1.07","1.06","1.03"
"Burlington","Chesterfield","-","715","747","754","765","-","7,905,426","8,152,813","8,152,813","9,435,877","-","436,821","403,538","419,983","821,188","-","8,342,247","8,556,351","8,572,796","10,257,065","-","5.24","4.72","4.9","8.01","-","11,667.48","11,454.29","11,369.76","13,407.93","-","473,442,728","472,344,816","473,256,167","482,686,457","-","140,692,676","146,604,166","148,969,536","153,956,848","-","662,157.66","632,322.38","627,660.7","630,962.69","-","196,772.97","196,257.25","197,572.33","201,250.78","-","0.77","0.72","0.7","0.66","-","0.84","0.82","0.78","0.76"
"Gloucester","Kingsway Regional","-","2,301.5","2,352","2,441.5","2,529","-","18,400,238","19,605,356","19,605,356","21,597,639","-","8,911,988","8,742,379","8,866,900","9,599,143","-","27,312,226","28,347,735","28,472,256","31,196,782","-","32.63","30.84","31.14","30.77","-","11,867.14","12,052.61","11,661.79","12,335.62","-","1,126,054,900","1,161,111,684","1,233,459,311","1,340,329,055","-","418,023,767","441,888,686","475,163,766","541,051,741","-","489,270","493,669.93","505,205.53","529,983.81","-","181,631.01","187,877.84","194,619.61","213,939","-","0.57","0.56","0.56","0.56","-","0.78","0.79","0.77","0.81"
"Gloucester","Logan","-","1,083.5","1,084","1,088","1,025","-","11,563,999","11,679,639","11,679,639","12,656,365","-","5,463,524","5,395,095","5,405,785","5,308,079","-","17,027,523","17,074,734","17,085,424","17,964,444","-","32.09","31.6","31.64","29.55","-","15,715.3","15,751.6","15,703.51","17,526.29","-","1,148,545,087","1,119,587,677","1,189,079,729","1,457,594,914","-","178,889,238","187,717,133","193,387,147","198,946,663","-","1,060,032.38","1,032,829.96","1,092,904.16","1,422,043.82","-","165,103.13","173,170.79","177,745.54","194,094.31","-","1.23","1.18","1.22","1.49","-","0.71","0.73","0.7","0.73"
"Gloucester","Greenwich","-","569","563","543","490","-","9,757,131","9,697,131","9,697,131","10,290,673","-","1,173,445","1,122,508","1,132,945","1,110,286","-","10,930,576","10,819,639","10,830,076","11,400,959","-","10.74","10.37","10.46","9.74","-","19,210.15","19,217.83","19,944.89","23,267.26","-","821,813,310","791,822,004","783,660,910","798,499,861","-","132,640,617","136,909,530","134,918,934","145,811,964","-","1,444,311.62","1,406,433.4","1,443,206.1","1,629,591.55","-","233,111.8","243,178.56","248,469.49","297,575.44","-","1.68","1.6","1.61","1.71","-","1","1.02","0.99","1.12"
"Gloucester","Harrison Twp","-","1,468","1,432","1,405","1,348","-","11,349,128","11,760,498","11,760,498","12,478,890","-","6,204,250","6,128,763","6,171,027","6,171,027","-","17,553,378","17,889,261","17,931,525","18,649,917","-","35.35","34.26","34.41","33.09","-","11,957.34","12,492.5","12,762.65","13,835.25","-","768,462,001","788,499,226","800,443,984","822,781,727","-","309,189,824","317,034,152","339,157,754","364,464,673","-","523,475.48","550,627.95","569,711.02","610,372.2","-","210,619.77","221,392.56","241,393.42","270,374.39","-","0.61","0.63","0.64","0.64","-","0.9","0.93","0.96","1.02"
"Gloucester","National Park","-","246","245","233","246","-","1,859,429","1,896,618","1,896,618","2,042,706","-","2,231,679","2,077,854","2,087,717","2,098,195","-","4,091,108","3,974,472","3,984,335","4,140,901","-","54.55","52.28","52.4","50.67","-","16,630.52","16,222.33","17,100.15","16,832.93","-","83,124,323","79,145,620","80,093,432","86,683,628","-","33,488,357","33,981,030","33,450,006","37,415,113","-","337,903.75","323,043.35","343,748.64","352,372.47","-","136,131.53","138,698.08","143,562.26","152,093.96","-","0.39","0.37","0.38","0.37","-","0.58","0.58","0.57","0.57"
"Burlington","Lenape Regional","-","6,969","6,880","6,886","6,878","-","104,586,437","107,781,862","107,781,862","115,467,007","-","29,140,357","28,618,926","28,686,546","28,686,546","-","133,726,794","136,400,788","136,468,408","144,153,553","-","21.79","20.98","21.02","19.9","-","19,188.81","19,825.7","19,818.24","20,958.64","-","5,653,902,906","5,780,208,911","5,803,588,475","6,063,266,738","-","1,943,390,633","1,969,782,650","2,079,093,753","2,229,375,823","-","811,293.29","840,146.64","842,809.83","881,545.03","-","278,862.19","286,305.62","301,930.55","324,131.41","-","0.94","0.96","0.94","0.92","-","1.19","1.2","1.2","1.22"
"Gloucester","Newfield","-","241","216","228","230","-","2,079,911","2,216,837","2,216,837","2,454,370","-","1,447,035","1,425,282","1,437,594","1,467,748","-","3,526,946","3,642,119","3,654,431","3,922,118","-","41.03","39.13","39.34","37.42","-","14,634.63","16,861.66","16,028.21","17,052.69","-","115,281,816","114,343,474","115,105,833","130,319,880","-","35,996,342","38,361,941","39,671,156","40,569,687","-","478,347.78","529,367.94","504,850.14","566,608.17","-","149,362.41","177,601.58","173,996.3","176,389.94","-","0.56","0.6","0.56","0.59","-","0.64","0.74","0.69","0.66"
